DATE,genre,format,language, mood ,decade, Label ,EXPLICIT, chartPosBand ,Instrument Focus,Live/Studio, GRAMMY WON ,remastered,PLAYLIST TYPE?,audienceAge,REGION POPULARITY,Streams M,salesK,LISTENERS K, peakPos , weeks charted ,Tour Gross £M,track_length_s,bpm,Key,energy%
2023-05-10, rock ,live,-999,Happy,80S,NaN,no,top-40,synth,studio,4-7,yes,WORKOUT,kids,uk," 6,987","18,432",19265,16632,13089,£8444,"16,491",12738,2909,17459
missing,Rock,live,-999,-999,2020S,universal,Yes,top-10,piano,live,1-3,Yes, workout ,seniors,Asia,,-999,£14805,£19614,£15182,,14815,5038,"17,952",9916
2024-05-03,rock,streaming,french,sad,2010s, Indie ,no,top-10,strings,STUDIO,0,no,PARTY,Kids,uk,2609,NaN,14427,17726,£10056,13784,15143,2841,£14312,7449
NA,pop,Streaming,Korean,Energetic,2010s,warner,NO,Uncharted,missing,Live, 1-3 ,no, Workout ,adults,Uk,11879,£9985,14702,3619,-999,19202,7551,£19289,11524,£5235
2023-10-20,EDM,CASSETTE,SPANISH,Energetic,2010s,indie,no,Top-100,drums,-999,8+,no,PARTY, teens ,uk,8823,3488,15986,15789,16204,"19,818",9214," 6,387",10935,£6537
01/01/2022,classical,streaming,french,sad,2000s,warner,yes,,STRINGS,studio,8+,No,MOOD,adults,asia,£5127,9406,11448,2408,3400,3111,5338,7251,,"19,493"
24/12/2024, JAZZ ,Streaming,-999, HAPPY ,80s,sony,Yes,uncharted,guitar,Studio,1-3,No,sleep,SENIORS,uk,17676,9383,"10,638",6129," 8,705",605,3263,-999,5696,4178
25/04/2023,pop,missing, KOREAN ,energetic,-999,sony,no,top-10,,-999,1-3,NA,mood,SENIORS,Asia,8629,12756,"13,010",NA,9042,7655,£18148,"16,230",488,1492
2023-05-21,hip-hop, live ,French,SAD,90s, Universal ,Yes,top-40,drums,Studio,8+,,workout,adults,us,£2517,14413," 4,950",3865,,NA,£15882,"12,396",NA,13189
28/01/2021,HIP-HOP,cd,french,happy,70S,missing,-999,top-10,Guitar,Live,NA,missing,PARTY,teens,asia,9119,"11,514",4540,19916,760,8537," 2,936",£7754,16732,NA
11/06/2022,pop,live,NA,ANGRY,2010S,Indie,no,uncharted,piano,Studio,8+,NaN,focus,TEENS,LATAM,14689,1319," 5,978",8454,4206,NaN,1980,£10000,9306," 4,018"
2022-11-14,classical,Cd,French,missing,missing,sony,missing,TOP-40,guitar,live,1-3,no,party,seniors, Latam ,4847,3385,190,£17090,8689,19903,11404," 2,853",£15953,15708
16/03/2022,Classical,Cd,english,-999, 2010s ,indie,no,top-10,piano,NaN,8+,Yes,WORKOUT,Teens,latam,8062," 2,473",NaN,10403,£11533,15140,17166,11857,11599,14568
"May 09, 2021",rock,VINYL,FRENCH,CHILL,90s,universal,,top-40,missing,Live,missing, NO ,PARTY,kids,asia,5830,12886,13697," 3,142",£19938," 9,597",6346,£751,NaN,"12,818"
"Nov 22, 2023",NA,cd,french,,2020S,-999,missing,top-100,SYNTH,live,1-3,no,mood,Seniors,Eu,5447,1681,12172,£4259," 3,453",missing,19073," 6,630",6302,£10320
20/07/2023,HIP-HOP,NaN,english,angry,2000S,NA,No,Top-10,Guitar,LIVE,4-7,no,workout,adults,Uk,5740," 8,509","15,657",3744,18219," 2,848"," 1,330",16969,£16502,-999
2021-05-14,jazz,vinyl,-999,,90s,Indie,no,UNCHARTED,DRUMS,Studio,4-7,,Party, Kids ,NA,£16136,£14643,15455,12991,7140,10759,7804,4497,17156,"19,705"
20/01/2021,rock,live,Spanish,sad,2000s,Sony,Yes,top-100,guitar,live, 0 ,Yes,mood,TEENS,uk,£6384,12995,16198,"14,952",-999,11142,3692,5109,6895," 6,382"
"Dec 29, 2024",NaN,Streaming,english,-999, 2000s ,-999,-999,TOP-10,guitar,STUDIO,8+,no,party,seniors,latam,4763," 6,293",8248,NaN,£13339,13841,"17,195",16943,NA,1126
16/01/2023,pop,cd, french ,energetic,80s,NA, YES ,top-10,synth,Studio,0,NaN,PARTY,SENIORS,us,£6519,11580,14532,8975,7869,7891,7507," 3,963",,10658
2024-07-25, classical , cd ,korean,happy,2010s,SONY, Yes ,TOP-10,Strings,LIVE,0,No,sleep,TEENS,latam,11217,"17,649",17408,18181,£15354,8728,4305,NA,13853,£14213
26/08/2024,hip-hop,LIVE,spanish,angry,80s,sony,no,Top-40, synth ,Studio,0,YES,workout, kids ,eu," 7,769",17902,NaN,5688,9792,13761,NA,19026,12032,6013
2023-06-21,pop,NA,missing,chill,2000s,warner,NO,top-40,Synth,studio,0, yes ,mood,teens,latam,"18,960",14077,£15438,7181,1465,16834,15641,NaN,17585,10850
"May 23, 2023",Rock,Cd,english,ANGRY,70s,indie,,uncharted,drums,STUDIO,1-3,No,-999,Teens,asia,137,5156,7053,596,12115,14315,NaN,15545,£2182,13026
27/12/2022,hip-hop,cassette,english,chill,2020S,UNIVERSAL,yes,uncharted, Synth ,live,4-7,No,workout,SENIORS,Asia,"16,125",8663,£1978,£2292,-999," 7,566","15,977"," 4,705"," 4,603",18589
26/02/2023,Classical,cassette,spanish,happy,90s,Universal,YES,NaN,synth,studio,4-7,no,party, KIDS ,eu,12565,10451,838,£13121,NA,£7475,2048,12310,NA,£13995
28/08/2021,classical,STREAMING,GERMAN,,2000S,universal,no,top-100,STRINGS,studio,1-3,YES,NaN,-999,us,,13007,-999,£8095,£11668,£17804,6514,659,£5485,£1926
31/10/2024,classical,-999,KOREAN,happy, 90S ,NaN,YES,TOP-100,DRUMS,STUDIO,4-7,no,FOCUS,KIDS,US,NA,5619," 4,851","16,693",234," 1,460",NA,£258,6619,NaN
24/06/2021,Rock,LIVE,spanish,,70s,Warner,No,top-100,DRUMS,missing,0,yes,party,kids,eu,-999,13054,1139," 9,053"," 9,899",NaN,12677,"17,158",£1865,16879
26/09/2021,pop,Streaming,french,chill,2000s,INDIE,no,missing,Drums,studio,8+,no,sleep,adults,eu,18933,"15,298","10,558",16389,NaN,NaN,£11921,£4165,missing,"17,569"
2023-05-10,POP,cassette,FRENCH,ANGRY,70s,NA,yes,Top-40,STRINGS,live,0, no ,Mood,Teens,NA,12577,missing,3027,£19099,3202,19020,£16616,6580,7265,11708
2022-06-21,Classical,LIVE,FRENCH,happy,2000s,-999,yes,top-10,Guitar,live,1-3,yes,mood,missing,Latam,£7460,NA,"15,585",missing," 9,097"," 6,801",2295," 7,827"," 3,354",13069
23/06/2021,hip-hop,,french,Sad,70s,SONY,Yes,top-40,NaN,Live,4-7,yes,focus,teens,-999,NA,497,£3323,,10651,"10,596","15,633","14,503",6069,329
"Jan 30, 2023",hip-hop,cd,english,happy,2010s,Warner, yes , Top-100 ,Piano,studio,4-7,NaN,sleep, seniors ,Uk,£17112,16664,8901,11620,"19,838",NA,14607,   936,18785,£10774
2023-01-23,Hip-Hop,NA,german,Chill,2020s,indie,Yes,uncharted,strings,STUDIO,8+,yes,sleep,kids,Latam,12187,1251,11526,£610,,2024,7088,£2281,5260,3898
01/06/2022,hip-Hop,Vinyl,french,sad,NA,indie,Yes,Top-40,drums,Studio,1-3,No,NA,NA,ASIA,3143,,19820,5965,19335,"11,792",17908,NaN,"12,862",7073
25/03/2022,jazz,cassette, french ,happy,70s,universal,Yes,top-40,Synth,Live,NA, yes ,,ADULTS,us,"14,406",£7438,12899,8542,£17134,-999,3679,-999,15304,missing
29/06/2024,Edm,vinyl,,energetic,2000S,UNIVERSAL,yes,uncharted,strings, studio ,1-3,NaN,missing,SENIORS,Asia,,"15,536",13207,10735,15810,NaN,£11800," 2,398",£13662,15696
2022-03-18,jazz, cassette ,NA,happy,90s,warner,no,Top-10,STRINGS,STUDIO,0,no,party,KIDS, uk ," 6,122"," 3,057",missing,£10959,13893,2810,19951,16776,£6111,3075
06/03/2024,pop,Cassette,english,missing,2010s,indie,no,,Strings,Live,8+,no, sleep ,seniors,NA,"14,330",3184,5917,NaN,"18,059",missing,4248,"13,267"," 4,439",14729
2024-09-02,hip-Hop,live,german,happy,90s,Warner,YES,missing,piano,studio,0,yes,Workout,seniors,LATAM,"11,423",1250,6499,11442,4357,2358,19424,£9690,5386,15686
19/11/2023,hip-Hop,CASSETTE,-999,sad, 2010s ,warner,no,Top-100,guitar,studio,4-7,NO,Mood,TEENS,Uk,13682,5635,NaN,8978,£11076,12872,15120,2982,NaN,£16335
NaN, CLASSICAL , VINYL ,English, HAPPY ,2020s,indie,Yes,TOP-10, Piano ,,0,YES,workout,teens,eu,£2946,£3303,13774,4991,13511,17283,missing,317,13944,2232
2024-11-12,rock,Cd,spanish,ENERGETIC,90s,NA,YES,NaN,Strings,live,4-7,yes,PARTY,Adults,Uk," 5,677"," 1,480",£19292,9517,786,,£4374,NA,NA,10632
NA,rock,cd,ENGLISH,SAD, 80s ,sony,No, TOP-10 ,DRUMS,live,8+,NO,focus, seniors ,eu,18963,8875,5516,7108,1239,"19,287",£17680,19246,"19,053"," 5,843"
04/07/2021,JAZZ,,french,happy,80s,indie,no,top-10,missing, Studio ,1-3,yes,party,seniors,us,18329,13656,"13,738",130,7612,13541,£8378,14062,£2776,£5916
"Nov 26, 2023",hip-Hop,streaming,French,sad,90S,WARNER,Yes,TOP-100,drums,Live,1-3,YES,sleep,kids,latam," 2,182",£11450,NA,11822,4374,15774,"10,043",7370,14052,5645
missing,jazz,live,korean,angry,2000s,warner,NaN,Top-100,synth,studio,1-3,no,NaN,teens,eu,9443,£4559,," 1,949",717,13523,13687," 2,866",£13324,18633
2024-12-17,pop,cd,spanish,angry,70s,INDIE,Yes,NaN,guitar,studio,4-7,yes,focus,NA,asia,19975,," 2,215",60,13477,£16262,2293,NA," 3,164",13067
NaN,ROCK,cd,FRENCH,chill,2020s,UNIVERSAL,no,top-10,drums,LIVE,1-3, No ,WORKOUT, SENIORS ,EU,£593,£16886,,NaN,"15,966",15350,13697,4982,14196,6611
27/02/2024,jazz,live,english,HAPPY,NA,Universal,missing,TOP-10,drums,-999,8+,NO,Party,Adults,EU,4658,2912,2799,17898,   270,5709,19912," 9,907",2525,7136
17/10/2024, jazz ,vinyl,,,80s,Sony,yes,top-10,strings,STUDIO,4-7,,Sleep,NaN,eu,5755,"17,404",9498,£7170,10538,£7117," 4,661",£7165,5671,
2023-08-15,hip-Hop,cd,Korean,angry,80s,universal, no ,top-10,synth,live,0,yes,NA,teens,us,2112,£17336,-999,9599,"19,707",1146,15534,1985," 5,526","12,329"
2021-11-03,classical,cd,french,angry,2010s,,No, TOP-10 ,strings,Live,8+,YES,party,Kids,Eu,£7856,NaN,685,14658," 7,649",11682,10437," 1,035",10304,16162
"Dec 14, 2022",jazz, Streaming , spanish ,energetic,,universal,YES,,strings,live,8+,No,workout,ADULTS,uk,3449,13614,"16,696",14841,6852,19287,8907,2808,15514,£5294
17/11/2022,pop,cd,german,Angry,70s,UNIVERSAL,NA,top-40,PIANO,studio,0,yes,Mood,seniors,Uk,5537,£18003,£15335,missing,7726,3262,6152,£18748,15336,15742
24/11/2023, classical ,Cassette,German, energetic ,missing,indie,YES, Top-100 ,Guitar, live , 0 ,Yes,Mood,kids,uk,£19037,16832,£1348,£11930,15308,£12431," 9,992",18686,5280,581
"Apr 28, 2022",classical, vinyl ,french,sad,-999,warner,Yes,top-100,STRINGS,LIVE,-999,YES,MOOD,NaN,latam,1182,,4144,missing,213,9486,18898,"12,057",2413,£3739
05/12/2024,NaN,streaming,english,chill,NaN,universal,NaN,Uncharted,SYNTH,live,8+,NO,sleep,kids,ASIA,16120,6708," 8,946",13515,£18252,8526,missing,"10,054","16,643",£6751
02/10/2024,Edm,Cd,korean,-999,2010s,Indie,no,top-40,NA,live,0,NO,focus,kids,asia,3032,10648,2026,9682,£6711,9037,£2294,14478,16398,11238
2024-01-25,classical,Live,spanish,Angry,80s,indie,yes,top-100,drums,studio,0,Yes,missing,-999,uk,£19048,16995,,," 8,142",5682,608,811,NA,8471
"Jul 24, 2024",ROCK,live,french,SAD,NaN,,YES,,strings,studio,1-3,YES,FOCUS,adults,NA,1675,4526,,50,"12,924",696,,£14957,£6965,17073
08/07/2024,classical,cd,spanish,NaN,2020s,indie,no,TOP-100,Synth,studio,4-7,no,PARTY,teens,Latam,NaN,11649,11671,missing,£4407,13358,3512,12588,13359,£7987
23/07/2024,rock, live ,english,Energetic,2020s,Sony,no,top-40, GUITAR ,Live,8+,no,Sleep,seniors,uk,16795,14403,"14,233",£2575,13151,1741,10737,missing,£10915,11087
"May 17, 2022", Rock ,vinyl,missing,angry,80s,universal,yes,TOP-100,strings,live,0, Yes ,party,adults,LATAM,"17,361",13487,18891,£2479,17921,    88,£11349,missing,4651,18537
"Apr 17, 2023",pop,cd,spanish, SAD ,2000s,indie,yes,NaN,synth,Live, 1-3 ,no,FOCUS,SENIORS,asia,£12502,15880,15302,missing,£13033,7086,19694,12918,18794,7785
2021-06-17,classical,missing,korean,happy,90s,, no ,Top-10,strings,live,8+,NaN,NA,SENIORS,-999,9120,16031,2479,1283,£1530,"14,602",6821,11239,16972,11552
2023-12-01,Pop,,-999,Sad,80s,SONY,no,top-100,piano,live,8+,no,sleep,teens,latam,£16327,901,£12237,10546,10837,9726,£4291," 3,900",13155,4147
28/07/2022,edm,Live,English,Chill,80s,SONY,No,Uncharted,guitar,LIVE,0,yes,NA,kids,latam,"10,931"," 8,579",3642,8022,missing,7716,13656,5458,18374,£15162
27/06/2022,hip-hop,missing,German,Chill,90s,universal,YES,TOP-40,-999,studio,0,No,Mood,adults,Us,19868,6561,19525,£8942,18044,12604,18043," 4,049",£8825,1090
2023-09-21,Rock, vinyl ,english, Sad ,70s,WARNER,No,TOP-40,synth, live ,1-3,no,Focus,ADULTS,Asia,NaN,NA,missing,,3406,10554,4604,£6399,11717," 2,401"
16/10/2023,classical,Vinyl,KOREAN,angry,70s,indie,NO,uncharted,guitar,NaN,4-7,No,MOOD,adults,uk,16886,13779,5277,"19,263",£3525,," 9,815",,17703,-999
2023-05-16,missing, live ,missing,happy,70s,warner,no, top-100 ,drums,LIVE,1-3,no,sleep,TEENS,NaN,£14774,5501,11440,NaN,9360,£17836,5163,18702,9321,17004
2022-08-04,classical,VINYL,KOREAN, sad ,70s,warner,yes,uncharted, drums ,LIVE,4-7,no,focus,Teens, uk ,19230," 8,358",4307," 3,841","17,264",5519,16893,£2038,205,NA
25/03/2024,NaN,CD,spanish,ENERGETIC,2020s,universal,no,UNCHARTED,Strings,live,8+,yes,MOOD,Seniors,eu,9353,5746,£13225,8694,-999,6252,9959,1474,3981,13246
29/05/2021,jazz,vinyl,Spanish,energetic,70s,WARNER,Yes,top-100,Drums, live , 1-3 ,YES,MOOD,teens,asia,16898," 9,450",£18713,12836,13586,missing,£3336,17861,15112,NA
2021-10-12,rock,streaming,spanish,energetic,2010S,INDIE,no,TOP-40,drums,missing,0,NA,sleep,Teens,latam,9945,"11,154",5671,missing,missing," 5,030"," 3,679",4388,746,1379
2024-06-10,hip-hop,VINYL,German,angry,2020s, Warner ,missing,top-100,missing,live,1-3,missing,focus,Seniors,asia,6613,16117,12626,£11765,2599,£12265,4668,£17328,1501,missing
"Feb 01, 2022",CLASSICAL,LIVE,english,Happy,2020s,UNIVERSAL,yes,TOP-10,drums,Studio,4-7,No,sleep,teens,ASIA,3104,17775,10008,10909,4028,138,"10,680"," 3,213",7329,2578
2022-07-12,Pop,vinyl,german,Chill,2000s,Warner,Yes,top-100,drums,live,4-7,no,PARTY,Teens,uk,11871,-999,NA,£14486,14455,13750," 4,682",2087,3938,£13074
09/11/2023,hip-hop,NA,ENGLISH,CHILL,2020s,SONY,NO,top-100,Guitar,NaN,8+,NO,FOCUS,kids,EU,4916,1643," 8,699",21,9449,NaN,£15031,"12,242",18437,£2707
03/10/2021,jazz,VINYL,missing,SAD,NaN,Universal,yes,top-10,strings,STUDIO,4-7,yes,workout, adults ,EU,£16897,," 3,054",4370,14944,4001,15979,10262,missing,12356
28/04/2021,ROCK,vinyl,French,Happy,2020s,sony,NA,uncharted,NaN,live, 8+ ,YES,WORKOUT,ADULTS,us,19138,6627,18457,8281,5594,14466,8225,19917,11937,5892
-999,pop, Live ,english,chill,90s,indie,YES,missing,strings,STUDIO,1-3,NO,FOCUS,Kids,us,1328,"15,859",12173,NaN,"19,353",18097,NA,-999," 4,918"," 7,867"
23/07/2022,rock,cassette,Spanish,Angry,2000s,universal,Yes,uncharted,Drums,studio,8+,yes, Party ,Teens,missing,13276,12426,£9784,19487,972,3490,15244,1183,14884,"14,061"
NA,JAZZ,cassette,english,chill,2000s,sony,no,TOP-100,-999,studio,0,no,,adults,Latam,£4695,5151,£3521,17244,19768,£11109,8930,8192,2819,2878
2023-12-08, Pop ,Live,English,energetic,2020s,warner,Yes,top-10,guitar,Live,4-7,yes,-999,Teens,Us,NA,"19,683",18741,£537,NA,11367,NaN," 4,226",£11888,£6048
14/05/2023,hip-Hop,-999,FRENCH,energetic,,INDIE,no,uncharted,GUITAR,live,1-3,no,,TEENS,EU,6684,NaN,7284,5420,11726,£9954,4891,NA,14547,406
29/12/2024,Pop,LIVE,,Sad,2000S,warner,,-999,Guitar,Live,8+,yes,sleep,adults,us,£19443,13069,,19573,11033,-999,13271," 6,280",11856,
-999,classical,cd,spanish,Chill,2000s,indie,Yes,top-40,guitar,studio,8+,no,party,missing,Latam,16546," 1,052",13898,missing,3021,15075,missing,£17407,11221,"16,148"
2021-06-07,pop,Vinyl,Spanish,energetic, 2000s , universal ,Yes,uncharted,piano,studio,4-7,yes,sleep,NA,uk,7397,-999,£924,-999,£7837,£1562,£13677,£13284,18109,£9960
"Dec 20, 2021",rock,cassette,spanish,energetic,-999,Sony,Yes,UNCHARTED,-999,LIVE,4-7,no,Sleep, seniors ,missing,NaN,18309,19530,19037,"12,484",17238,£13605,4560,£5654,3190
2021-07-26,Hip-Hop,live,,angry,80s, Universal ,No,top-10,drums,studio,0,,Mood,teens,uk,NaN,2303,7564,,14041,£4897,14498,"18,670",6312,2501
29/11/2021,,Streaming,spanish,NA,90s, INDIE ,no,top-100,GUITAR,STUDIO,1-3,Yes,mood,TEENS,UK,-999,548,15037,19072,12173,16654,12243,19349,5560," 8,234"
30/09/2024,rock,Vinyl,French,chill,70s,indie,yes,top-100,missing,Studio,8+,Yes,focus,, asia ,£13315,NA,1965,£14212,"13,712",£15426,18187,11591,"19,369",6318
06/07/2024,NA,Live,spanish,sad,2020s,UNIVERSAL,no,,guitar,STUDIO,4-7,yes,mood,,UK,-999,£11032,NA,12080,£2423,3881,NA,19648,£1734,3503
03/03/2021,POP,vinyl,german,angry,2020s,INDIE,NaN,Top-100,strings,live,4-7,no,focus,kids,LATAM,13837,NA,NaN,NA,6270,11373,7382,1258," 9,402",4593
08/05/2024,hip-hop,live,French,HAPPY,2010S,warner,yes,top-40,Drums,live,1-3,no,NaN,teens,Asia,,,13211,"15,299",10586,£4364,9893,16859," 9,020",NA
2024-12-01,,CASSETTE,spanish,chill,2020s, Indie , no ,Top-40,synth,LIVE,8+, yes ,focus,adults,uk,£12428,15067,14864,8357,8174,9063,1497,7404,4110," 5,825"
17/01/2022,classical,cd,french,Sad,90s,sony,NO,top-10,drums,NaN,1-3, Yes ,workout,ADULTS,,1690,3223,3747," 2,658"," 7,201",8924,6302,732,£15108,£3949
NaN,JAZZ,cassette,ENGLISH,Chill,70s,warner,No,missing,guitar,Studio,8+,,mood,Kids,uk,£17681," 9,065",   246,   630,missing,16844,£73,,14385,missing
"Feb 26, 2024",ROCK,LIVE,german,happy,2010s, indie ,NO,Top-40,piano,studio,missing,NO,Party,kids,eu,missing," 6,231",14364,7952,"16,002",12347," 1,704",10895,18401," 6,647"
21/03/2021,jazz,Cd,ENGLISH,happy,80s,sony,NO,Top-100,synth, live ,1-3,missing,SLEEP,Kids,Uk,2176,1647," 5,163","11,052",7595,"11,720",1236,8300,"13,085",11498
2023-02-26,missing,vinyl,German,angry,90s,sony,no, TOP-100 ,Strings,studio,,NO,mood,,NA,"18,653","15,181",£17169,11365,10129,£6739," 8,181",18661,"18,259",£15754
2024-01-22, edm ,cassette,-999,energetic,2010s,sony,Yes,uncharted,,NA,0,No,focus,kids,eu," 9,868",10256,9236,9545,17018,12684,4050,"13,723",1248,5439
"Jan 26, 2021",edm,cassette,FRENCH,energetic,90s,SONY,no,TOP-10,Strings,live,,Yes,Workout,seniors, EU ,5457,9204,missing,14780,9886,9333,977,£10907,£11443,12897
29/06/2024,Edm,-999,french,sad,90s,Warner,no,-999,Synth,STUDIO,4-7,NO,NaN,seniors,US,3829,NaN,19628,-999,"16,682",17687,18457,14993,9844,£11696
"Apr 17, 2021",NA,Streaming,SPANISH,angry,2010s,UNIVERSAL,no,Top-100,drums,studio,0,no,Sleep,KIDS,uk,5038,,NaN,308,16237,5758,missing,15264,16452,£4972
"Nov 11, 2024",jazz,-999,korean,NaN,2010s,missing,yes,top-10,Drums,live,0,no,SLEEP,adults,uk," 5,014",,9754,£9528,-999,1587,13023," 6,586","12,852"," 5,915"
09/04/2022, CLASSICAL ,cd,NA,,80S,Universal,yes,-999,synth,live,8+,no,workout, seniors ,eu,12702,3460,6145,£17954,10864,14008,£8985,NA,19576,£903
2023-05-02,jazz,vinyl,french, energetic ,2020s,warner,No, Uncharted ,piano,STUDIO,8+,yes,missing,missing,NaN,9355,9291,"18,475","13,192",missing,4185,£2183,995,NaN,£18590
07/11/2022,classical,cassette,missing,NaN,2010s,Indie,yes,top-100,guitar,live,,no,Mood,Seniors,UK,10659,NA,NA,missing,1643,   958,NA,£13975,   229,18789
,classical,cd,ENGLISH,happy,2020s,INDIE,yes,Top-100,drums,-999, 0 ,NO,Mood,SENIORS,missing,£10561,13559,18049,18571,13840,"16,647",,16111,,4749
30/03/2021,rock,,german,Angry,NaN,universal,no,top-10,Strings,studio,1-3,NaN,focus,teens,asia,14334,"17,928",17886,9715,19552,missing,£2163,NA,£18891,-999
21/07/2023,EDM,NA,missing,chill,NA,universal,yes, TOP-100 ,synth,studio,1-3,no,party,KIDS,uk,4652,£7424,£9700,-999,£4778,NaN,19135,£6214,13735,13560
2024-11-08,rock,Cassette,KOREAN,chill,missing,sony,Yes,top-40, GUITAR ,studio,4-7,NO,party,missing,UK,"12,419",13316," 5,687",18780,£6368,£299,12988,£10472,5496,5773
2021-02-01,edm,vinyl,-999,happy,70s,indie,,top-10,GUITAR,studio,1-3, yes ,party,,NA,19493,6948,"18,900",14063,16313,18568,6450,£18117,-999,5172
2024-04-30,,streaming,spanish,missing,80s,sony,no,Top-10,GUITAR,live,0,yes,mood,kids,uk,9937,NaN,"14,473","11,025",£1351," 7,641",7371,"12,420",-999,5029
05/11/2022,CLASSICAL,cassette,german,sad,90s,Indie,no,NA,Synth,Studio,4-7,yes,,NA,latam,2421,10639,£12509,6042,"15,106",£8423,£18515,3877,"12,699",19369
2023-08-04,rock,vinyl, german ,chill,missing,WARNER, no ,UNCHARTED,STRINGS,Live,4-7,no,party,teens,Us,£9401,,19665,5239,9148,12164,£1236,£15773,5194," 8,813"
14/06/2023, rock ,STREAMING,spanish, happy ,90S,warner,missing,top-10,drums, studio ,NA, yes ,NaN,kids,Eu,£435,NaN,£15713,£6856,18591,missing,1056,£1706,5648,17118
10/09/2023,HIP-HOP, Vinyl ,spanish,energetic,80s,Sony, yes ,top-40,Guitar,live,8+,No,sleep,teens,asia,NA,£12399,," 6,164",19476,£12348," 2,843",10080,missing," 6,465"
20/06/2024,POP,live,german,SAD,2000s,indie,no,Uncharted,STRINGS, studio ,0,yes,sleep,-999,-999,9963,£19776,£11416,838,£2575,"10,556",3618,16921,5670,"15,505"
missing,jazz,Cassette,Spanish,CHILL, 2010s ,Warner, no ,top-40,guitar,STUDIO,8+,Yes,party,SENIORS, eu ," 8,919"," 5,501",19160,£863," 6,787",NaN,13707,6543,4718,£10905
2023-05-10,classical,Cd,SPANISH,energetic,2020s, sony ,NaN,Top-100,piano,live,4-7,no,workout,kids,LATAM,16648,-999,NaN,17744,£3736,3078,18359,4420,missing,-999
2021-11-24,rock,STREAMING,Korean, sad ,, Indie ,no, uncharted ,DRUMS,Live,0,no,SLEEP,Teens,UK,£2287,£1909,8909,10498,10046,"13,044",17016,£6728," 7,755",£2956
28/12/2022,Pop,Streaming,german,angry, 2010s ,warner,Yes,top-10,Strings,live,NaN,yes,WORKOUT,KIDS,NA,missing,3479," 6,206",-999,3839,"16,719",19471,2825,-999,NA
23/03/2023,CLASSICAL,VINYL,korean,missing,,warner,no,,GUITAR,live,8+,yes,mood,SENIORS,asia,772,"14,929",17373,£7560,£8475,15847,-999,3132,18226,missing
12/07/2023,hip-Hop,Cassette,Korean,NaN,,indie,yes,,drums,studio,8+,no,focus,seniors,asia,12517,12242,£19022," 1,575",9177,£10863,"16,045",10892,"12,535",£4247
"Dec 25, 2021",Classical,,ENGLISH,angry,2000S,Universal,Yes,top-100,piano,studio,NA,NA,Focus,seniors,US,707,10705,-999,527,2039,11400,3751,£12976,£16160,19301
29/01/2022,classical,streaming,Korean,CHILL,2000s,UNIVERSAL,no,top-100,drums,STUDIO,8+,NO,workout,adults,NA,£7530,6905,"11,023",11758," 8,052",£10864,10601,£11578,,19715
07/12/2024,Jazz,Cd,German,sad,90s,-999,YES,top-40,strings,LIVE,8+, yes ,Sleep,seniors,eu,12842," 2,955",4802,,£10937,3606,14787," 6,011",6781,2213
"Oct 14, 2022",NA,LIVE,korean,energetic,80S,Indie,no,TOP-100,Synth,studio,1-3,yes,PARTY,teens, UK ,,NA,missing,9922,12438,£11319," 1,765",NaN,"14,620",£15990
2022-05-16,missing,cassette,NA,sad,90s,Universal,-999,TOP-40,Guitar,live,8+,yes,party,seniors,NaN,missing,1786,NaN,13573,17876,5721,14062,17742,3920,£9491
"Mar 21, 2024",edm,live,French,energetic,70s,WARNER,yes,uncharted,strings,live,4-7,yes,Mood,NaN,us,£18465,9871,11614,5833,missing,13183,7087,-999,16473,   362
2024-01-09,edm,cassette,english,ENERGETIC,70s,NA,NO,top-40,GUITAR, studio ,8+,yes,sleep,teens,uk,10314,8823,-999," 9,508",£13725,"17,673",15217," 2,845",missing,6346
2022-06-09,Classical,live,,Energetic,2010S,sony,No,top-100,strings,Studio,4-7,yes,sleep,missing,us,2164,-999,NA,£1867,£4222,6053,10598,NA,£17552," 5,590"
2022-11-19,jazz,vinyl,french,Angry,2020s,Sony,No,top-10,synth,studio,4-7, yes ,FOCUS,seniors,us,£14330,   422,missing,"19,333",£5173,-999," 6,638",16823,15226,missing
2024-08-06,POP,cassette,FRENCH,-999,2020s,,YES,,piano,studio,0,No,mood,Kids,uk,5357,"10,537",16241,NA,NaN,£7790,,18210,NaN,12813
"Jul 18, 2024",HIP-HOP,NaN,FRENCH,happy,80S,sony,no,top-100,drums,live,4-7,YES,-999,teens, eu ,18993,3499,13794,£1529," 1,412",19319,1481,4468,£10860," 7,683"
"Nov 23, 2021",Rock,streaming,French,SAD,2000s,Sony,no,top-10,guitar,Live,0,No, mood ,adults, asia ,6550,18079,19993,,13420,5597,4832,7062,1663,7935
11/06/2024,rock,vinyl, english ,Angry,2020s,universal,NA,Top-10,GUITAR,Live,0,no,party,NaN,asia,11025,17324,£14549," 9,918",£16536,19583,£11220,18474,NA,NA
2024-02-28,ROCK,live,korean,SAD,80s,indie,No,top-40,STRINGS,LIVE,4-7,Yes, PARTY ,seniors,Us,7427,1025,-999,16297,2605,10587,£17443,14642,3078,18732
06/12/2023,hip-hop,missing,german,SAD,NaN,universal,NO,top-10,guitar,live,8+,no,FOCUS,Kids,UK,£16344,£18434,£13275," 7,213",6850,£10141,16908,NA,12571,3942
