DATE,make,model/,fuel_type?,transmission,Body Style, colour ,Drive Train,Trim Level,reg state, Emission Std ,Segment?,ownership type,insuranceGroup,warranty_status,MARKET REGION, ENGINE CC , horsepowerBhp ,TORQUE NM,co₂G/Km,Range Km,0-60 MPH S,fuelTankL,Boot L?,KERB WEIGHT KG,list_price_£?
16/01/2024,missing,a4,diesel,cvt, suv ,Silver,4wd,premium,New,euro_4,c-Compact,NA,1,out-of-warranty,eu,missing,NA,£952,6186,£997,17216,11920,NaN,16526,£7617
18/03/2021,vw,S60,DIESEL,DUAL-CLUTCH,hatchback,BLACK,rwd,premium,imported,euro_5,c-compact,demo,NA,out-Of-Warranty,Apac,NA,17077,1629,6052,£16266,2236,3329,   814,6049,14981
29/12/2024,toyota,S60,hybrid,dual-clutch,suv,grey,4wd,base,new,ULEZ, b-supermini ,demo,3,OUT-OF-WARRANTY,NaN," 8,724",13302,6205,3584,9141,19697,-999,NaN,1485,6154
13/02/2021,volvo,A4,Hybrid,dual-clutch,NA,white,4wd, PREMIUM ,Used,euro 5,B-SUPERMINI,demo, 16 ,Extended,Us,15612,£11360,13984,4311,3160,£8151,missing,1204,8050,NaN
"Oct 09, 2021",Tesla,Civic,hydrogen,dual-clutch,hatchback,Silver,awd,PERFORMANCE,New,euro6,a-city,private, 11 ,in-Warranty,us,-999,11988,17464,16128,19203,NA,17154,NaN,13782,13252
24/08/2024,,-999,petrol,dual-clutch,NaN,black,Rwd,sport,imported,Euro 4, b-supermini ,Private,38,in-Warranty,apac,"18,931",NA,"12,791",4918,,4201,"10,134",1269,£13527," 4,081"
18/02/2024,bmw,FOCUS,ELECTRIC,cvt,NaN,-999,awd, performance ,,ULEZ,d-mid-size,demo,50,In-Warranty,us,12530," 9,971",£18572,10573,£16748,missing," 5,958",15846,17901,16611
26/11/2023,-999,civic,electric,cvt,COUPE,blue,Awd,,NEW,euro_5,B-SUPERMINI,Private,1,extended,Eu," 4,852",7256,18282,5192," 9,707"," 5,657",-999,1090,888,missing
15/10/2021,Audi,corolla,NaN,NA,COUPE,grey,4wd, sport ,ex-lease,ulez,B-SUPERMINI, hire ,28,EXTENDED,apac,£19292,4798,£18376,£3044,£13771,15585,9764,5173,"11,198",
2023-11-17,FORD,MODEL 3,ELECTRIC,dual-clutch,hatchback,WHITE,fwd,BASE,Ex-Lease,euro5,d-mid-size,hire,2,in-Warranty,EU,£12803,-999,3886," 1,747"," 3,291",6565,£5041,NA,1710,"16,534"
2022-01-24,tesla,-999, electric ,cvt,suv,black,awd,Sport,NaN,euro_4,e-Exec,demo,25,missing,NaN,"11,930",19925,1729,£2219,16542,£10345,£18808,£5323,£10382,
2021-04-01,toyota,Golf,HYDROGEN,AUTOMATIC, saloon ,-999,RWD,luxury,-999,Euro 5,b-supermini,demo,50,out-of-warranty,us,-999,"12,410",4160,-999,NA,6387,£4482,18635,£12582,11432
19/04/2021,vw,corolla,hydrogen, manual ,Suv,White,AWD,sport,USED,euro6,b-supermini,private, 32 ,out-of-warranty,Uk,"13,518",3717,12518,"18,058","13,230",16583,1903,10536,£17014,NaN
22/03/2021,audi,MODEL 3,HYDROGEN,automatic,missing,GREY,4wd,missing,ex-lease,,E-Exec,private,-999,IN-WARRANTY,apac,8975,£10318,18053,1264,17799,14681,19836,£11728,NaN,-999
2021-03-24,bmw,A4,HYBRID,Cvt, HATCHBACK ,black, AWD ,performance,ex-lease,NA,B-Supermini,missing,47,In-Warranty,uk,19250," 8,181",7660," 3,843",7267,4409,13908,8307,9388,9241
21/05/2024, volvo ,NA,DIESEL,cvt,COUPE,BLUE,fwd,premium,EX-LEASE,euro 5,d-mid-size,demo,37,out-of-warranty,eu,996,NA,4659,7549,missing,£11497,missing,£9333," 4,188",£10301
2021-10-07,audi,S60, Diesel ,dual-clutch,suv,silver,-999,performance,NEW,euro6,c-compact,NA,44,in-Warranty,Us,£18032,5011,£18242,"18,865",£6363,"12,276"," 5,185",12279,5934,£5676
2023-11-06,TOYOTA,civic,missing, MANUAL , hatchback ,silver,awd,premium,used,ulez,a-city, Private ,36,,uk,£60,£6326,14689,18220,£12469,missing,£12420,4866,4105,19059
16/06/2022,audi, S60 ,electric,missing,NaN,grey,,luxury,New,Ulez,d-mid-size,fleet,20,,MEA,NaN,"13,718",NA,£13451,13135,"14,846",155,"16,206",15861,18914
18/09/2021,honda,320i,NaN,-999,saloon,Red,FWD,base,imported,euro_6,E-EXEC,Fleet, 16 ,OUT-OF-WARRANTY, Eu ,£6323,8397,NaN,17638,NaN,-999,14977,2021,£16387,17095
"Feb 14, 2021",toyota,Model 3,petrol,manual,HATCHBACK,Black,NA,premium,Ex-Lease,missing,d-Mid-Size,Demo,6, out-Of-Warranty ,mea,£4500,1241,1267,-999," 6,979"," 2,886"," 1,885",£19640,10003,17342
2022-04-16,FORD,corolla,diesel,DUAL-CLUTCH,missing,Grey, rwd ,LUXURY,imported,EURO 5,c-Compact,private,missing,Extended,us,16905,13378,938," 5,759",5363,6890,16506,£11009,4756,10894
08/04/2022,Tesla,golf,NA,cvt,ESTATE,blue,4wd,-999,New,,missing,-999,18,extended,-999,,4553,£14795,£16336,10689,16588,2249,NaN,-999,13803
20/05/2023,Honda,Corolla,petrol,AUTOMATIC,suv,NaN,4wd,premium,ex-lease,euro_6,a-City,,,Extended,eu,NA,"12,977",missing,4534,15722,18815,-999,£12793,6032,£4508
25/07/2022,,model_3,electric,cvt,Suv,WHITE,4wd,premium,imported,ulez,D-MID-SIZE,HIRE,49,missing,MEA," 4,078",14435,6687,£8254,£8191,-999,19642,11431,"10,875",-999
missing,AUDI,,hybrid,MANUAL,NA,White,4wd,-999,Imported,euro_4,d-Mid-Size, hire ,13,IN-WARRANTY,mea," 4,047",19925,1141,13042,£4032,"12,943","14,287",4927,14930,£3714
14/07/2021,VW,-999,NA,NA,saloon,, rwd ,sport,imported,ulez,d-mid-size,private,3,in-warranty,MEA,3911,4388,NA,£13053,,£1997,8768,£4574,£6040,14830
11/01/2024,HONDA,focus,-999,cvt,coupe,WHITE, awd ,base,NaN,euro6,B-Supermini,private,2,extended,Uk,4443,4527,2046,-999,5848,   616,"13,263",8848,"17,908"," 8,644"
01/09/2024,Vw,-999,HYBRID,automatic,coupe,NA,RWD,BASE, used ,EURO 4,D-Mid-Size,DEMO,44,OUT-OF-WARRANTY,eu,"18,145"," 7,880",5324,£3181,,17735,£13162,6437,£3873,5724
21/06/2023,honda,a4,HYBRID,DUAL-CLUTCH,saloon,red,rwd,luxury,ex-lease,Euro 4,E-Exec,Demo,46,extended,UK,"12,393",£8982,NaN,7723,£5883,12307,NaN,£4345,14192,3556
-999,honda,S60,electric,cvt,COUPE,NA,4WD,PERFORMANCE, ex-lease ,euro 5,d-Mid-Size,fleet,,out-of-warranty,apac," 2,549"," 2,779",NA,"19,565",15095,9720,NA,17226," 2,963",NaN
2024-09-13,ford, golf ,diesel,Cvt,suv,Silver,Fwd,missing,ex-Lease,euro4,b-Supermini,fleet,7,extended,UK,"14,412",15273,6557,16927,NaN,1425,"18,952",£11188,£19745,17888
"Aug 28, 2024",audi,S60,PETROL,AUTOMATIC,SALOON,White,awd,premium,,euro_6,d-mid-size,Hire,missing,out-Of-Warranty,NaN,NA,"19,847",13339,£10491,14592,NA,2343,12098,3035,£5920
2024-06-09,ford,model 3,hydrogen, manual ,estate,-999,AWD,performance,imported,EURO 6,B-Supermini,fleet,46,out-of-warranty,Mea,14345," 3,374",11796,,5837,NA,"16,498",14713,3216,
"May 26, 2022",missing,focus,Electric,automatic,Coupe,red,Rwd,PERFORMANCE,new,ulez,e-exec,fleet,23,in-warranty,EU,£10897,11495,missing,17664,£10019,10337,£9182," 9,348",," 4,147"
"May 12, 2022",Vw,model_3,hydrogen,automatic,estate,grey, rwd ,Premium,imported,euro6,A-CITY,private,49,Out-Of-Warranty,APAC,14986,1786,19924,10577,-999,,900,4176,11162,7760
2024-02-03,bmw,missing,hydrogen,automatic,SUV,grey,rwd,BASE,EX-LEASE,euro 6,-999,,35,in-warranty,Us,15985,11602,£8565,6142,1092,14242," 8,504",19371,"10,367",9224
08/05/2022,vw,civic,Hybrid,NaN,suv,grey,awd,base,used,euro5,b-supermini,Demo,13,IN-WARRANTY,Uk,2755,19785,17884,£13818,£6080,"11,192",15898,14582,15714,"11,161"
"Sep 29, 2022",bmw,320i,Hydrogen,-999,hatchback,NaN,4wd,performance,Ex-Lease,EURO 6, B-SUPERMINI ,fleet,42, EXTENDED ,Us,6792,4149,17404,1174,14236,NA,-999,£5480," 4,809","10,300"
11/08/2022,honda,focus,Electric,cvt,suv,blue,NA,,NEW,ULEZ,C-Compact,HIRE,29,out-of-warranty,eu,19206,£15615,10717,2078,-999,NA,13691,3035,3438,£1364
2023-02-23,Tesla,a4,PETROL,cvt,Suv,blue,4WD,PREMIUM,Imported,ulez,e-exec,demo,39,extended,APAC,£10322,426,5777,,9585,£4961,"16,530","11,743",£1596,6971
13/01/2022,volvo,model 3,HYDROGEN, MANUAL ,Coupe,Grey,rwd,,EX-LEASE,euro 4,c-Compact,Private,49,in-warranty,us,NA,NA,£12550," 9,665"," 8,702",,15587,15046,9981,11382
03/05/2022,Audi,civic,hybrid,CVT,Estate,red,Fwd,Premium,new,euro_6,D-MID-SIZE, fleet ,40,In-Warranty,uk,74,NaN,,11184,NaN,"17,116",missing,16810,14305,"14,219"
07/02/2023,tesla,GOLF,petrol,cvt,Suv,WHITE,awd,sport,NA,ulez,a-city,Fleet,3,NaN,NaN,£5151,£3987,168,9396,£8931,17932,NA,,8196,£2668
2022-06-25,Tesla, 320i ,PETROL,automatic,saloon,missing,fwd,performance,Ex-Lease,euro 4,D-Mid-Size,fleet, 16 ,extended, eu ,£10579,9235,NaN,7130," 2,695",14601,-999,15847,3371,£11523
2021-06-28,Volvo,320i,HYDROGEN,automatic,Estate,grey,AWD,premium,Imported,euro_5,c-compact,fleet, 5 ,In-Warranty, uk ,190,-999,14133,7521,16833,2684,£16131,4306,19198,3290
19/07/2024,-999,focus,-999,manual,suv,missing, fwd ,PERFORMANCE,USED,euro_5,, hire ,35,in-warranty,mea,8075,missing,14505,1015,2441,19795,3964,2605,"15,238",NaN
2024-02-25,toyota,Golf,petrol,automatic,COUPE,silver,4wd,Sport,imported,euro 5,b-Supermini,FLEET,46,in-warranty,us,19119,NaN,12923,16737,11871,£19438,7545,NA,8143,17157
2022-07-29,, civic ,Diesel,missing,hatchback,white,fwd,Luxury,Ex-Lease,euro 6,-999,hire,39,OUT-OF-WARRANTY,UK,   770,15768,£14711,9586,£18604,5995,4580,17751,17704,12090
2024-10-03,,civic,electric,MANUAL,coupe,Grey,Awd,base,Imported,EURO 5,b-supermini, private ,37,in-Warranty,UK,14956,-999,£15674,£7644,15828,missing,19385,12825,£14709,£16101
2021-06-14,TESLA,CIVIC,HYDROGEN,manual, Suv ,red,awd,premium,NA,euro5,b-Supermini,Fleet,27,IN-WARRANTY, apac ,4550,3166,13276,11195,4574,£10880,4668,3547,2977,£1015
23/01/2021,toyota,S60,electric,,-999, black ,4wd,base,new,euro 5, C-Compact ,fleet,38,EXTENDED, mea ,18970,£9156,17892,£13068,15167,,6103,£2281,7309,£9954
05/01/2021,BMW,model3,NA,Manual,coupe,, awd ,,used,ulez,C-COMPACT,,missing,extended,MEA," 7,752",10140,£5296,NaN,4472,3463,5535,NaN," 3,317",7824
01/04/2022,honda,s60,petrol,manual,coupe,BLUE,Fwd, base ,EX-LEASE, ulez ,b-supermini,fleet,42,out-Of-Warranty,mea,17962,£4900,£4979,9393," 9,680",18503,11894,£13727,2297,11470
"Apr 17, 2024", tesla ,a4,ELECTRIC,AUTOMATIC,ESTATE,Black,AWD,Base,imported,euro4,a-city,fleet,14,EXTENDED,us,12328,17169,NA,£16570,£16990,6329,11698,," 5,477",£12173
11/02/2022,vw,NA,hybrid,cvt,SALOON,silver,4wd, Luxury ,NEW,ulez,D-Mid-Size,hire,46,extended,-999,7731,3126,5198,9190,5799,9569,£1725,6496,missing,7615
19/08/2022,vw, 320i ,electric,DUAL-CLUTCH,saloon,silver,rwd,sport,IMPORTED, EURO 6 ,,private,3,extended,Uk,"11,247",NaN,NaN,,£3145,NaN," 7,388",13361,"19,345",12057
2023-03-19,Tesla,model3,HYDROGEN,CVT,estate,blue,, luxury ,imported,Euro 4,E-Exec,DEMO,48, OUT-OF-WARRANTY ,APAC,"18,691",4665,3751,16619,11663,9868,,3143,£136,12697
09/10/2024, bmw ,corolla,hybrid,missing,HATCHBACK, blue ,awd,performance,used,euro5,E-EXEC,NaN,36,extended,mea,3126,£17812,8731,9747,NA,3532,"13,394",NA,"15,233",   980
26/12/2021,vw,focus,Hybrid,dual-clutch,HATCHBACK,grey,Fwd,base,used, ulez ,D-MID-SIZE,hire,37,in-Warranty,Mea,£14104,1009,17292,£17215,14359,£16711," 5,119"," 2,376",13783,18988
28/10/2021,Tesla, GOLF ,Hydrogen,manual,suv,BLUE,fwd,performance,imported,ulez, A-CITY ,demo,28,Extended,APAC,£14583,5258,11099,14114,"16,141",19043,14504,£9329,11242,-999
2021-07-17,bmw,CIVIC,,-999,ESTATE,blue,4wd, luxury ,imported,NaN,b-supermini,HIRE,6,,missing,7262,NaN," 3,614",19635,12602,5413,12700,NaN,10987,"12,229"
2024-08-24,toyota,Model 3, hybrid ,dual-clutch,saloon,Black,awd,premium,EX-LEASE, ULEZ ,c-compact,demo,8,Out-Of-Warranty,apac,9604,£5100,"19,979",1073,-999,NA,11311,15419,£5825,9793
"Jul 15, 2024",audi,a4,electric,CVT,missing,Black,awd,Base,used,Ulez,E-Exec,PRIVATE,11,extended,Mea,NA,£13430,"15,371",-999,1941,14410," 2,007",5468,3980,6222
"Dec 08, 2022",missing,MODEL 3,DIESEL, manual ,suv,silver,-999,performance,Imported,Ulez,d-mid-size,private,38,in-warranty,apac,missing,7182,10110,"15,465",6155,£5682,3731,£19241,4178,11468
2024-06-16,toyota,s60,hydrogen,dual-clutch,SUV,blue,4WD,Premium,ex-Lease,euro 6,e-Exec,fleet,35,IN-WARRANTY,Uk,NA,12067,11596,NaN,5496,NA,8388,2232,"13,974",19821
10/04/2021,tesla,focus,electric,automatic,Suv,,Rwd,base,ex-lease, ulez ,d-mid-size, Private ,35,Extended,Uk,12259,19359,,9101,9994,4077,"13,945",19044,missing,£11604
2024-10-23,NA,corolla,HYBRID,automatic,SUV,silver,awd,performance,used,EURO 5,missing,DEMO,35,In-Warranty,Uk,£18145,6718,4578,NaN,," 9,746",5066,11420,10692,-999
"Sep 03, 2024",TOYOTA,FOCUS,petrol,manual,saloon,Red,fwd,-999,ex-lease,ULEZ,,PRIVATE,18,OUT-OF-WARRANTY,Apac,10232,14," 9,140","14,988",16165,9475,14829,16840,12183," 6,262"
2022-02-24,tesla,NaN,Hybrid,manual,Hatchback,blue, Fwd ,BASE,,euro 4, e-exec ,Demo,24,NaN,eu,NaN,£7612,£10047,"10,673","16,138",14546,6861,NaN,10585,19798
22/10/2022,volvo,Golf,Petrol,Dual-Clutch,SUV,,4wd,NaN,-999,euro_6,a-city,private,30,extended,apac,15030,17779,10496,9994,169,£17282,,missing,"15,211",19624
13/09/2021,TESLA,civic, diesel ,Cvt,SALOON, BLACK ,Rwd,luxury,new,euro6,A-CITY,Hire,-999,EXTENDED,us,£4227,8315,2746,1811," 2,431"," 6,330",£5385,1842,£19538,12837
30/05/2021,FORD,Civic,-999,Dual-Clutch, coupe ,white,4wd,premium,missing,euro 4,d-Mid-Size,fleet,20,IN-WARRANTY, eu ,£19283,15860,16746,13867,£12035,,1142,£2825,NaN,4166
24/02/2021,,MODEL 3,diesel,manual,coupe,Red,awd,LUXURY,new,NA,c-Compact,FLEET,47,IN-WARRANTY,Mea,18902,2739,-999,16039,8025,18611,10007," 2,945",12822,2115
2022-09-19,Audi,A4, petrol ,dual-clutch,missing,red,awd,Sport,imported,Euro 6,D-MID-SIZE,demo,37,extended,Eu,£1498,8334,14919,-999,-999,1770,14525,missing,11458,10940
2021-11-27,BMW,A4,-999,Dual-Clutch,Suv,silver,rwd,premium,new,euro_4,a-city,fleet,31,Extended,uk,£1922,19387,£17430,16611,13661,£11929,13653,£8358,"14,146",£7462
2021-10-28,AUDI,Focus,petrol,automatic,saloon,white,fwd,SPORT,imported,Euro 6,a-City,Private,5,in-warranty,EU,4571,,-999,2213,19059,17477,2042,950,12298,3449
01/08/2023,Ford,Golf,electric, Manual ,Saloon,silver,FWD,sport,USED,euro_4,D-Mid-Size,Fleet,8,in-warranty,uk,£1853,,missing,15052,10135,15538,14611,16982,6297,
2022-12-12,TESLA,model 3,Electric,dual-Clutch,suv,RED,awd,PREMIUM,Ex-Lease,euro 4,b-supermini,private,5,-999,eu,8871,5496,missing,18823,"14,923",11504,-999,11948,2677," 8,306"
2022-06-04,audi,s60,hybrid,Automatic,SUV,silver, Fwd ,premium,IMPORTED,ulez, b-supermini , PRIVATE ,39,out-of-warranty,uk," 5,987",6475,1645,missing,5035,,NaN,£19477,7713,"15,313"
2023-05-29,tesla,focus,hydrogen,CVT,hatchback,white,4wd,luxury, EX-LEASE ,euro4,c-compact,private, 4 ,in-Warranty,eu,1755,"10,346",£14406,6964,1927,5742,266,8934,"19,373",7727
2023-04-21,tesla,Golf,Petrol,dual-Clutch,COUPE, Silver ,4wd,Premium,,NaN,D-Mid-Size,Private,7,in-warranty,us,1460,1241,10988,8712,2939,13402,£17875,"14,215",15287,4913
15/10/2022,honda,a4,HYDROGEN,dual-clutch,,BLACK,awd,NaN,imported,Euro 4, c-compact ,FLEET,46,Out-Of-Warranty,eu,17707,1615,£19772,15895,8438,missing,7904,16745,19595,£19883
"May 24, 2022",vw,a4,diesel,CVT,hatchback,black,RWD, performance ,used,euro5,c-compact,private,2,extended,EU,missing," 2,507",7764,"16,722",1520,£11230,9697,8726,2092,10934
"Jul 12, 2021",BMW,NaN,HYDROGEN,dual-Clutch,hatchback,blue,FWD,Luxury,ex-lease,euro_6,A-CITY,fleet,14,in-warranty,-999,563," 1,776",£11236,NaN,16469,13536,NaN,-999,17702,£12363
08/08/2023,ford,Model 3, petrol ,automatic,estate,Red,Fwd,Performance,used,EURO 6, D-MID-SIZE ,private, 40 ,OUT-OF-WARRANTY,EU,18102," 8,511",NaN,"11,477",12583,14551,2287,£8223,"13,644",£8172
2023-08-14,AUDI, s60 , diesel ,missing,Coupe,blue,4wd,base,new,euro6,-999,demo,,OUT-OF-WARRANTY,apac,missing,-999,11858," 2,202"," 8,401",£10697,14145,missing,5174,NA
2021-01-07,ford,NaN,hydrogen,cvt,HATCHBACK,BLACK,AWD,sport,ex-lease,ULEZ,E-EXEC,DEMO,24,extended,APAC,14685,14081,12910,17514,£6998,"15,907",£17934,,£13862,missing
07/05/2022,VW,s60,diesel,missing,ESTATE,silver,missing,sport,imported,Euro 5,A-City,fleet,31,in-Warranty,MEA,13981,£1192," 6,152",16816,10154,"14,584",6577,missing,10329,8340
2021-10-08,TESLA,a4,NA,CVT,estate, grey ,4wd,PERFORMANCE,New,Ulez,A-CITY,hire, 5 ,in-warranty,NaN," 5,196",£8168,NA,5819,6873,14778,7150,10527,15353,16532
11/03/2023,vw,civic,Hybrid,manual,NaN,Grey,4wd,performance,imported,euro 6,A-CITY,fleet, 26 ,extended,US,missing," 2,409","18,862",NaN,14232,13399,18202,15194,19372,1420
2022-04-06,volvo,Focus,diesel,automatic,Suv,silver,FWD, LUXURY ,imported,euro4,a-City,demo,31,extended,Uk,9924,NaN,10617,£10107,18069,11805,19638,313,NA,8033
03/04/2024,Toyota, MODEL 3 ,petrol, MANUAL ,Suv, Black ,FWD,sport,imported,euro4,a-city, private ,40,Extended,Us,10808," 9,975","18,089",178,£9208,£3506,3878,£3045,7128,19706
2023-08-03,TESLA,COROLLA,electric,manual,Estate,grey,4WD,SPORT,ex-Lease,ulez,a-city,-999,40,Extended,US,6903,16268,£2646,1447,"11,621",14835,11377,14387,11979,3025
2024-10-26,vw,s60,DIESEL,AUTOMATIC,NaN,black,NaN,base, used ,euro_5,b-supermini,hire,NA,EXTENDED,Us,18076,£15417,5489," 5,845",18475,5384,7373,£5179,18567,£11110
2024-04-12,Vw,model 3,diesel, automatic ,COUPE,Silver,awd,base,used,euro4,d-mid-size,hire,47,NaN, APAC ,6671," 3,879",3357,18907,£7592,734,17316,£18748,8880,8226
"Oct 27, 2021",TOYOTA,corolla,diesel, cvt , ESTATE ,NA,missing,BASE,imported,euro_4,a-city,HIRE,NA,OUT-OF-WARRANTY,Apac,£764,13739,13100,19634,3168,15944,£1590,5564,19194,NA
14/01/2021,vw,civic,hydrogen,manual, Estate ,NaN,4wd, base , EX-LEASE ,NA, E-Exec ,private,43,NaN,uk,5488,£5432,NaN,£3293,6118," 8,576",1855,1054,14658,-999
2023-05-22,Bmw,corolla,-999,Dual-Clutch,Suv,missing,4WD,luxury,New,euro_4,A-City,FLEET,28,IN-WARRANTY,NA,missing,19059,NaN,18838,13375,7279,NaN,19176,£7098,14777
01/12/2023,ford,focus,HYBRID,manual,suv,Grey,rwd,PREMIUM,used,euro 4,A-CITY,FLEET,4,missing,APAC,£8819,9911,15317,17481,-999,NaN,17431,£10071,NA,6503
2021-04-14,Honda,civic,diesel,cvt,Suv,grey,4WD,missing,used,-999,D-MID-SIZE,demo,47,extended,apac,"10,158",£10915," 1,335",6357,missing,£17154,6647,,missing,£13549
2024-12-12,vw,320i,PETROL,cvt, HATCHBACK ,Silver,Awd,performance,new,-999,d-mid-size,hire,7, extended ,eu,£15742,-999," 5,358",7611,-999,10396," 1,113",£6490,NA,missing
2021-09-11,VW,civic,Electric,automatic,Coupe,black,Fwd,sport,new,Euro 4,d-mid-size,hire,48,extended,eu,"14,271",5037,12683,5891,4762,NaN,£2771,£4539,12726,£15356
13/08/2022,Toyota,-999,NA,dual-clutch,estate,NA,awd,sport,ex-Lease,euro_5,b-Supermini,HIRE,7,, Eu ,"12,067",13629,7877,2037,   546,11056,7681,11557,£19894,1451
2021-03-21,Audi,civic,Hybrid,automatic,-999,Silver,4wd,sport,new,EURO 4,-999,FLEET,NaN,NaN,us,2813,NaN,18013,£2346,£7284," 7,957",17855,19325,13068,£14470
05/07/2024,ford,model_3,Petrol,dual-clutch,HATCHBACK,black,4wd,PERFORMANCE,New,Euro 4,a-city,HIRE,42,out-Of-Warranty,,   124,£1455,6807," 9,234"," 9,871",11715,£10667,NaN,-999," 2,343"
08/03/2023,bmw,320i,diesel,MANUAL,hatchback,Blue,Awd,Base, new ,Euro 6,c-Compact,demo, 37 ,Out-Of-Warranty, us ,," 2,979",8337,15307,222,8444,"17,836",15250,8735," 5,220"
NaN,vw,missing,hydrogen,dual-Clutch,suv,white,rwd,missing,new,euro 6,d-mid-size,HIRE,-999,in-warranty,Us,15279,£14535,missing," 5,108",6304,,£18733,missing,-999,£8960
25/05/2023,BMW,s60,Electric,MANUAL,Saloon,,4wd,luxury,ex-Lease,EURO 6,b-Supermini,fleet,28,out-of-warranty,UK,18699,16329,£9577,"10,644",12067,14716,£148,"11,177",6447,12905
2021-06-18, ford ,Focus,diesel,manual,estate,blue,RWD,base,used,Ulez,D-Mid-Size,hire,1,in-Warranty,eu,16487,2687,10012,5533,1568,NaN,missing,2251,9008,NaN
2024-06-12,bmw,GOLF,,AUTOMATIC,Estate,Grey,4wd,base,Ex-Lease,euro4,E-Exec, fleet ,42, In-Warranty ,apac,-999,6206,275,10130,13282,£5402,2805,"13,574","15,108",16040
,honda, A4 ,diesel,manual,estate, Grey ,awd,base,used, euro 6 ,d-mid-size,FLEET,NaN,missing,us,1253,£7549,3763,missing,1237,3457,£18855,19912,"12,098",1622
24/09/2024,Honda,Model 3,hybrid,manual,Estate,Black,Fwd, luxury ,Imported,euro_5,e-Exec,private,8,extended,EU,NA,missing,£9531,missing,NaN,9321,£8992,NA,10090," 7,086"
01/05/2021,NA, Focus ,electric,cvt,HATCHBACK,black,awd,PREMIUM,imported,EURO 4,E-EXEC,DEMO,46,EXTENDED,NA,12890,NaN,12447,6810,7749,£5714,11266,7574,4571,£6934
09/11/2022, bmw ,missing,diesel,DUAL-CLUTCH,Coupe,white, awd ,LUXURY,Used,Euro 4,b-Supermini,fleet,missing,in-warranty,mea,"18,288",£19887,£15625,4065,11218,5859," 9,077"," 9,220",£8366,missing
12/02/2024,Audi,GOLF,hydrogen,Manual,ESTATE,Black,4wd,NA,imported,Euro 6,D-MID-SIZE,fleet,NaN,extended,us,6615,"19,039",10261,£12416," 2,178",4349,16891,,£4852,594
2022-04-22,audi,A4,petrol,dual-Clutch,COUPE,blue,Fwd,SPORT, ex-lease ,euro_6,c-Compact,NA,19,out-of-warranty,APAC,17994,NaN,12586,"14,085",18066,17843,-999,7185,"17,582",
09/10/2021,honda,a4,Hybrid,manual,Estate,blue,NaN,Sport,missing,ulez,d-mid-size,demo,22,,uk,15562,12728,625,713,-999,6772,£5978,,£1841,£15182
2024-04-06,audi,CIVIC,diesel,automatic,saloon,red,Fwd,Luxury,NEW,EURO 5,d-mid-size,-999,21,NA,mea,3739,£13427,£1850,-999,5326,missing,9783,9718,£5504,£14475
12/01/2023, honda ,Focus,electric,dual-clutch,hatchback,red, 4wd ,performance,NaN,,-999, Demo ,46,extended,EU,£8555,3318,785,£2124,18957,3365,249,19113,£8801,5929
2024-07-17,AUDI,A4,missing,manual,coupe,black,4wd,premium,used,ulez, e-Exec ,hire,33,extended,EU,999,£3511,10165,£11096,2776," 4,365",£11080,4748,15787," 6,468"
2023-09-24,Audi,320I,diesel,manual,ESTATE,blue,Rwd,Base, Imported ,NaN,e-exec, private ,50, out-of-warranty ,Apac,"14,225",12094,"10,122",10818," 1,582",18670,2614,5615,11365,6560
21/08/2022,Vw,S60,HYBRID,cvt,SALOON,BLACK,fwd, Luxury ,new,EURO 4,e-exec,demo,13,in-warranty,-999,18903,£7324,16049,£10781,"16,575",3172,£5654,£7529,NA,£9139
16/05/2021,Tesla,focus,HYBRID,Dual-Clutch,coupe,grey,rwd, PREMIUM ,IMPORTED, Euro 4 ,-999,FLEET,NA,In-Warranty,us,1423,16432,11349,17541,17528,missing,16816,18310," 4,255",
22/05/2023,volvo, A4 ,,-999,estate,grey,4wd, premium ,imported,Euro 5,C-COMPACT,,27,EXTENDED,us,NaN,18884,1787,18435,NA,3457,3684,1885," 9,015",NA
2021-07-04,,s60,NA,dual-Clutch,coupe, Black , fwd ,,Used,NA,E-Exec,HIRE,41,OUT-OF-WARRANTY,apac,NA,£14572,missing,1497,8416,," 7,188",NaN,18580," 8,545"
13/11/2022,volvo,,hybrid,Dual-Clutch,Estate,WHITE,fwd,performance,new,euro 4,B-Supermini,Hire,NaN,in-warranty,missing,,5492,£9293,253,17556,17081,£6585,3996,15381,NA
2022-03-01,,s60,diesel,automatic,saloon,NaN,4WD,performance,NEW, euro_6 ,b-supermini,demo, 40 ,out-of-warranty,apac,9349,"11,390",2916,missing,"11,662",7433,10140,1166,17722,NaN
2021-10-04,VOLVO,a4,Hydrogen,Manual,Saloon,RED,,luxury,imported, ulez ,C-Compact, demo ,22,OUT-OF-WARRANTY,Eu,17775,8148,6916,missing,£18724,10241," 1,011",£8989,-999,12946
2024-07-06,missing,missing,petrol,DUAL-CLUTCH,suv,silver,4wd,Base,used,euro5,D-Mid-Size,FLEET,9, extended ,apac,,£4498,"19,806",NaN,-999,9415,9447,£11962,15161,12797
2022-10-11,audi,golf,DIESEL,DUAL-CLUTCH,SALOON, Red ,Rwd,luxury,ex-lease,euro4,A-CITY,missing,4,extended,apac,6756,£19450,18398,1092,15717," 8,216",NA,13354,,12361
