DATE, transport mode , purpose , Class ,TICKET TYPE,bookingChannel,airline/Carrier,loyaltyTier, seat_preference ,accom_type,continent,Visa Required,Season,travel insurance,currency,Duration Band,distance_km,co₂_kg, trip cost £ ,DAYS AWAY, stops ,Layover H,bags,Delay Min,travel_speed_km/h,LOYALTY POINTS
11/09/2022,Bus,STUDY,Premium,One-Way,agent,QATAR,NA,AISLE,resort,NaN,no,Shoulder,comprehensive,eur,3-7d,6680,8734,16665,£13577,6627,missing,"10,189",14356,320,3565
-999, plane ,holiday, first ,One-Way,online, lufthansa ,SILVER,middle,NA,europe,NaN,Shoulder,comprehensive,USD,1-2w,195,"10,552",£6252,   829,£8113,17918,14704,7990,   373,17893
2021-07-08, train ,event,first,Open,online,Ba,GOLD,bulkhead,hostel,europe,NO,shoulder,comprehensive,usd,3-7d,3389,7665,5856,18989,-999,NA,NaN,2230,missing,16392
07/04/2021,Boat, Relocation ,economy,one-Way,Online,QATAR, platinum ,Window,couchsurf,asia,,Low,BASIC,eur,>1m,£10738,£3920,6412,8851,1887,3530,-999,18352,£3771,£8590
2024-04-15, plane ,,missing,RETURN,WALK-IN,BA,SILVER,bulkhead,hostel,oceania,NO,shoulder,basic,GBP,>1m," 9,192"," 9,031",£893,£18784,10029,10066,6724," 5,559",2001,
missing,Bus,study,economy,one-Way,walk-in,EMIRATES,,Window,HOSTEL,europe,NA,shoulder,NONE,usd,3-7d,1866,£7096," 7,176",£3596,8040,18483,£12157,NaN,-999,774
10/08/2021,train,EVENT,-999,one-Way,online,lufthansa,bronze,window,resort,europe,No,high,,Gbp,2-4w,£7550,15898,11929,NaN,,12284,14310,19347," 8,878","18,560"
"Aug 23, 2021",bus,missing,ECONOMY,return, app ,ba,BRONZE,window,Hotel,s.America,No,high,Basic,JPY,<3d,7755,£3117,-999," 1,782",£6272,2293," 4,299",£8666,missing,19299
2021-03-20,plane,study,premium,Return,walk-in,ba,PLATINUM,Bulkhead,airbnb,europe,Yes,shoulder,BASIC,,1-2W,4043,18741,1956,£13231,"19,226",-999,£12421,£115,,£9212
2023-06-01, bus ,EVENT,premium, RETURN ,walk-in,emirates,silver,aisle,couchsurf,EUROPE, no ,low,NaN,aud,1-2w,3511,NA,10553,,£2341,missing,17402,12331,,7892
15/05/2021,TRAIN,business,economy, open ,-999,lufthansa,bronze,aisle,Couchsurf,oceania,NaN,shoulder,none, GBP ,2-4w,4707,709," 6,035",£4366,12297,,£13747,£12544," 2,134",213
17/10/2024,,Relocation,business,open,Online,Lufthansa,BRONZE,Aisle,missing,s._america,YES,low,NONE,EUR,>1m,11555,8796,3822,missing,15553,£11137,£19138,NaN,3001,"11,358"
2022-06-30,bike,business,Economy, open , app ,lufthansa,silver,window,HOTEL, Asia , yes ,high,Comprehensive,usd,<3d,,£5549," 2,042",19478,"16,273",17306,£10282,-999,7897,£16874
14/10/2022,,backpacking,economy,ONE-WAY,App,Emirates,bronze,aisle,hostel,asia,missing,shoulder,none,Jpy,1-2w,12283," 8,681",529,17658,-999,missing,16606,18924,12460,£3838
02/12/2024, CAR ,holiday,premium,return,ONLINE,EMIRATES,gold,bulkhead,airbnb,Oceania,No,low,,eur,1-2w,18999,6919,£9611," 1,442","11,095",14691,£13776,NaN," 4,823",14733
2023-12-25,Train,holiday,NaN,ONE-WAY, WALK-IN ,EMIRATES,bronze, middle ,airbnb,Europe, YES ,High, NONE , Usd ,3-7D,2147,4959,5965,£1426,1553,14771,16038,18525,11410,14404
2021-10-15,missing,business,NA,return, walk-in ,easyjet,silver,Aisle,Hostel, s. america ,NO,NA,basic,JPY,3-7d,£2422,11820,£15225,"14,596","13,826",£17704,£10258," 3,886",-999,5668
2021-12-01,car,,Business,Return,online,emirates, BRONZE ,window,hostel,s._america,no,shoulder, basic ,usd,,missing,NA,5042,£8851,-999,    26,12113,1472," 7,131",£12918
"Feb 26, 2023",car,HOLIDAY,first, RETURN ,WALK-IN,easyjet,bronze,Window,Couchsurf,europe,yes,SHOULDER,comprehensive,JPY,1-2W,missing,10090,£16197,5738," 4,211","16,764",5188,16805,£8706,1427
04/12/2024,boat,relocation,Economy,return,WALK-IN,Emirates,platinum,Aisle,Resort,N. AMERICA,NO,low,COMPREHENSIVE,Jpy,2-4w,14343,19009,8177," 9,046","10,240",11580,2937,-999,£16512," 1,568"
2023-10-18,boat,holiday,economy,Return,walk-in,LUFTHANSA,bronze,-999,Couchsurf,europe,Yes,low,,usd,1-2w,362,3,12532,533,,2868,£2446,2789,,14326
14/06/2024,car,-999,economy,One-Way, walk-in ,ba,gold,bulkhead,Hotel,asia,no,NA,basic,Jpy,>1m,£8769,NaN,13767,£18214,18873,3064,19169,9034,17043,2640
25/08/2022,plane,NA,economy,open,missing,ba,PLATINUM,WINDOW,couchsurf,oceania,No,High,COMPREHENSIVE,aud,,7721,17869,2789,8312,5876,5051,19101,NA,795,9346
2022-11-15,car,HOLIDAY,first,one-Way,online,lufthansa,BRONZE,NaN,hotel,s.America,yes,High,comprehensive,aud,3-7d,17252,missing,7019,-999,£7989,806,6805,"14,269",12054,8473
2021-09-19,boat,Relocation,business,return,online,Qatar,bronze,window,Airbnb,missing,YES,high,None,usd,missing,5563,£16266,3343,"15,314",£16615,1872,4544,12089,NA,-999
NA,Boat,NaN, First ,return,app,qatar, PLATINUM ,window,hostel,ASIA,no,LOW,comprehensive,JPY,2-4w,2032,4286," 2,960",5812,9963,15351,16814,16950,£10421,15089
2022-10-24,Car, BACKPACKING ,,open,Online,lufthansa,gold,Aisle, AIRBNB ,Oceania,No,low,basic,,NA,14646,,14383," 3,645",,-999,NaN,18951,£11028,4745
10/09/2022,NA,event,economy,return,-999,qatar,bronze,AISLE,airbnb,NA,NA,high,basic,eur,1-2w,£7287,£18599,19045,£19902,£11769,£6643,,9476," 2,203",18697
"Jan 03, 2023",NA,STUDY,economy,OPEN,app,BA, silver ,middle,hostel,s. america, no ,-999,COMPREHENSIVE,Aud,3-7d,NaN,11871,10950,"19,953",16900,1793,11345,NA,-999,18280
05/03/2023,train,-999,Business,open,Agent,Ba,platinum,MIDDLE,couchsurf,s. america,yes, shoulder ,basic,Gbp,,£7034,14204,£1406,,£16951,-999,394," 5,924",8019,8893
"May 04, 2022", bike ,NA,business, return , ONLINE ,lufthansa,NaN,bulkhead,HOTEL,N. America,NO,low, none ,gbp,1-2w,£8744," 3,227",10338,985,,13387," 7,709",11302,£5153,7917
2021-01-27,train,holiday, first ,NA, WALK-IN ,lufthansa,bronze,bulkhead, hostel ,oceania,No,high,Basic,,<3d,7981,£320,13550,£5792,3492,-999,5642,£18764,15340," 6,000"
11/04/2021,car,EVENT, business ,Return,AGENT,BA,-999,-999,airbnb,S. AMERICA,yes,SHOULDER,none,eur,>1m,£5480,17016,£16797,1193,2441,NA,"16,400",£16360,13997,
25/03/2023,missing,NA,First,OPEN,WALK-IN,easyjet,gold,bulkhead,Hostel,africa,NaN,Shoulder, none ,aud,3-7D,419,18405,£17369,16700,5858,£18524,6790,3410,12474,18846
03/05/2024,plane,NaN, first ,One-Way,agent,emirates,platinum,,NaN, europe ,YES,High,none,jpy,-999,missing,NA,12612,19198,£13396,4076,16449,2503,NaN,11061
24/03/2023,bike,BACKPACKING,first,one-Way,AGENT, qatar ,bronze,aisle,Airbnb,europe,no,low,-999,gbp, 3-7d ,4739,17845," 5,657",missing,18005,"13,137",15824,804,976,16278
15/03/2023,TRAIN,backpacking,economy,ONE-WAY,,QATAR,BRONZE,NaN,couchsurf,n.America,yes,high,basic,jpy,<3d,14585,9532,18004,1810,NaN,"16,368",£2445,17609,6729,£9177
2021-05-03,plane,BUSINESS,business,return,walk-in,emirates,SILVER,BULKHEAD,hostel,oceania,yes,LOW,None,aud,2-4W,12272,6894,6903," 9,609",10695,1406,£9534,11665," 4,691",9804
2021-06-19,bike,backpacking,first,open,app, ba ,gold,bulkhead,Couchsurf,EUROPE,NO,,None,usd,1-2w,"17,425",£16429,£14624,missing,18598,-999,NA,17931,£1975,6500
,NA,-999,First,open,app, BA , bronze ,bulkhead,hostel,oceania,Yes,high,none,jpy,2-4w," 3,821",9042,15625," 5,585",17118,2505,19299,16990,19275,-999
-999,plane,holiday,economy,Open,Agent,EASYJET,silver,window,resort,oceania,yes,low,Basic,eur,<3D,2699," 9,219",19657,"19,716",12532,£14918,£2622,£9182,£8173,8223
28/03/2023, bus ,NaN,economy, open , Online ,ba,gold,NA,Resort,asia,NA,high,comprehensive,Gbp,1-2w,£8870,3926,,,19184,"18,137",4306,£12551,-999,589
03/02/2024,Car,event,Premium,open,agent,LUFTHANSA,BRONZE,Aisle, couchsurf ,OCEANIA,Yes,shoulder,Basic,USD,NA,14788,"15,808",13213,£13254,12334,17759,16379,£11357,13543,7218
2024-07-01,BUS,business,Business,,online, emirates ,Silver,WINDOW,resort,asia,no,shoulder,comprehensive,aud,1-2W,2569,15028,14754,19342,£15281,3223,£9259,11054," 4,538",£19061
17/06/2021,plane,holiday,first,open,walk-in,qatar,,middle,resort, AFRICA ,no,low,none,eur,<3d,15028,-999,1736,19672,1070,19974,7662," 5,990",3199,12537
2024-01-13,Car,business,economy,missing,,Emirates, PLATINUM ,bulkhead,couchsurf,,yes,low,Basic,eur,2-4w,7891,-999,7207,15170," 4,753",NaN,missing,14053,1670,10692
2021-03-18,Train,HOLIDAY,business,return,NA,easyjet,GOLD,window,resort,Africa,no,Shoulder,COMPREHENSIVE,GBP,NA,1969,11164,NaN,£15891,1956,£7393,£3412,"10,650","14,452"," 5,688"
12/02/2023,train,Holiday, BUSINESS ,Return,agent,EASYJET, Platinum ,middle,hostel,n.America,NO,SHOULDER,BASIC,eur,1-2w,£3414,14844,missing,£10353,2801,8552,NA,"10,349",£4148," 2,167"
NA,bike, Study , Business ,RETURN,ONLINE,,PLATINUM,Aisle,couchsurf,oceania,no,Shoulder,comprehensive,gbp,1-2w,13791,19985,NA,£8376,19020," 7,804",1148,£11434,18577,£4390
2022-08-20,BIKE,relocation,-999, ONE-WAY ,online,emirates,missing,Middle,missing,,YES,shoulder,Basic,gbp,<3d,1055,12723,1689,£7325,15566," 6,738",5511,£2412,3563,18820
2023-02-28,bike,-999,FIRST,NaN,walk-in,ba,bronze,AISLE,Hotel,missing,YES,Shoulder,None,NaN,<3d,8309,11293,18653,NA,11833," 8,698",missing,£8067,12156,516
27/06/2021,Bus,RELOCATION,PREMIUM,open,walk-in,-999,gold,-999,hotel,n._america,yes,Shoulder,basic,usd,1-2w,4450,11971,8146,149,3103,6979," 2,062",3301," 4,816",-999
19/02/2023,bike,business,first,open,missing,lufthansa,bronze, BULKHEAD ,couchsurf,NA,yes,NA,none,Jpy,NaN,7553,2818,2280,£17020,8471,£14793,19151,2214,£1647,12267
2024-11-12,bike,event,premium,OPEN,app, EASYJET , Bronze ,NA,airbnb,s.America, no ,low,none,jpy,2-4w,11107,£8420,£9682,£16338,3868,NA,£8488,NA,NaN,8716
2021-05-19,TRAIN,backpacking,premium,OPEN,app,NA,Platinum,middle,Hotel,N. AMERICA,yes,LOW,none,Gbp,1-2w,-999,"10,711",NaN,14066,9070,7469,missing,10448,£19251,   969
2022-01-06, bus ,RELOCATION,first,,APP,qatar,silver, middle ,airbnb,Asia, Yes ,shoulder,none,GBP,3-7D,£7443,903,4593,16408,4723,5832,£8962,£14256,6265,11502
15/11/2023,BOAT,backpacking,premium,, agent ,BA,gold,window,airbnb,Africa,NaN,HIGH,basic,eur,<3d,NaN,£1315,,13497,2150,£10544,NA,11106,6979,£16379
2021-11-22,CAR,NA,premium,open,App,ba,SILVER, MIDDLE , airbnb ,africa,yes,low,basic,usd,,13784,2913,12535,11405,£4314,£17939,9702," 2,281",2758,4690
02/08/2021,Bus,study,BUSINESS,return,APP,emirates,gold,Aisle, HOTEL ,asia,NaN,High,COMPREHENSIVE,USD,<3d,-999,-999,9421,-999,2754,13955,17637,17851,£219,£143
2023-12-31,car,business,economy,return,AGENT,,platinum,bulkhead,Hotel,OCEANIA,yes,High,basic,jpy,<3d,"12,049",18880,£12734,NaN,NA,15472,2060,13171," 8,535",£12621
16/08/2024,plane,RELOCATION,first,One-Way,online,qatar,,window,resort,n.America,NO,shoulder,basic,gbp,>1m,3098,19293,8845,NaN,14484,5872,4812,5827,2435,3280
2021-08-18,bike,event,First,return,agent, Ba ,platinum,middle,resort,asia,No,shoulder,BASIC,gbp,>1m,8373,6890,"16,483",£5152,-999,£3543,885,1516,3569,7835
"Nov 07, 2024",plane,Study,missing, one-Way ,,Lufthansa,bronze,WINDOW,resort,oceania,YES,high,comprehensive,aud,>1m,9706,"16,316",3162,-999,£6306,11604,10968,2244,9570,13175
2024-01-25,-999,relocation, First ,,Agent,EMIRATES,platinum,bulkhead,airbnb, oceania ,no,missing, Comprehensive ,jpy,2-4w,£10897,£10448,1097,8676,,NA,1023,8216," 8,604",6654
13/03/2024,car,study,PREMIUM,Open, walk-in ,lufthansa,bronze,NaN,RESORT,ASIA,NO,shoulder,NaN,Usd,<3D,11716,19035,506," 6,739",11447,-999,6882," 8,355",572,12943
NaN,missing,relocation,premium,ONE-WAY,walk-in,missing,GOLD,window,Hotel,europe,YES,shoulder,basic,usd,1-2w,2293,NA,14496,3008,18784,19777,9368,-999,14801,12458
21/07/2023,train,Relocation,FIRST,OPEN,agent,lufthansa,silver,Aisle,hotel,africa,NO,HIGH,none,jpy,2-4w,£15935,15798,"18,009",9825,£8460,18289,12347,1285,10509,13304
2021-09-08,Car,relocation,PREMIUM,RETURN,-999,emirates, GOLD ,Bulkhead,hotel,NA,no,LOW,basic,GBP,1-2w,19771,£1518,16386,£13385,£13812,14727,1293,"19,770",8944,NA
2024-12-17,NA,BACKPACKING,business, One-Way ,Online,qatar, gold ,window,couchsurf,Asia,YES,high,Basic,Usd,1-2W,,,£12749," 9,061",14218,4633,3289,£1158,7662,6305
17/01/2023, Bike ,event,premium,return,online,emirates,gold,MIDDLE,Airbnb,europe,missing,low, Basic ,jpy,missing,11388,£10596,15322,15481,4264,15044,13809,10162,£8980,NaN
2024-12-06,boat,STUDY,business,one-way,online,Lufthansa, Bronze ,aisle,airbnb,africa,yes,High,comprehensive,AUD,1-2w,11363,4802,16641,£2195,"16,843",£8168,5948,NaN,-999,8068
22/03/2022,Car,Study,Economy,Return,AGENT,Emirates,Bronze,BULKHEAD,RESORT,s._america,no, Low ,missing,NA,NaN,15846,71,816,"11,232",£1762,19916,15288,15086,£17740,£9364
28/12/2023,BOAT,Backpacking,FIRST,one-way,Walk-In,lufthansa,BRONZE,bulkhead,couchsurf,africa,no,NaN,none,usd,1-2w,13653,2986,7393,8361,NaN,NaN,"19,358"," 1,681",NA," 5,730"
missing,bus,business,ECONOMY,Return,app,qatar,silver,window,,n.America,NO,LOW,Comprehensive,Usd,>1m,"13,211",4953,£18667,14019,7798,£655,missing,£13322,3384,
,car,Relocation,Economy,One-Way,walk-In,Qatar,Bronze,window,missing,Europe,yes,LOW, none ,missing,<3d,£17608,"19,839",17381,19663,10482,-999,£12009,£13373,£14760," 3,424"
13/09/2022,car,Event,first,RETURN,agent,emirates,platinum,middle,-999,asia,no, high ,basic,USD,2-4W,£14652,19382,4018,"19,906","11,037",11647,16722,"13,747",17790,14526
12/05/2024,bike,business,Business,open,NaN,qatar,silver,MIDDLE,hostel,S. AMERICA,YES,shoulder,,NaN,3-7d,3849,10877,£12145,13699,6345,"16,193",4894,19272,9778,6663
2021-10-11,BIKE,Business,FIRST,Open,agent,qatar,SILVER,AISLE,couchsurf,oceania,YES,LOW,BASIC,Aud,3-7d,7359,12325,£15390,9954,15038,missing," 8,544",11640," 4,642",13380
04/08/2021,BIKE,study,economy,one-Way,NaN,emirates,platinum,window,COUCHSURF,Europe,NO,high,Basic,missing,1-2w,£15035,NaN,19877,18852,324,NaN," 1,058",£996," 4,433",£13416
24/03/2022,train,Relocation,BUSINESS,return,AGENT,EASYJET,silver,aisle,NaN,n._america,no,NaN,NONE,GBP,>1m,5309,4461,3611,NA,7490," 2,559",£1608,458,£7090,missing
2021-10-20,CAR,backpacking,PREMIUM,one-Way,walk-In,lufthansa,silver,AISLE,couchsurf,n. america,yes,Shoulder, comprehensive ,jpy,2-4W,£19697,7932,NA,£15835,13937,13855,£5344,7906,13154,15850
22/06/2024,TRAIN,holiday,economy,one-way,online,Lufthansa, silver ,,airbnb,EUROPE,no,NaN,None,jpy,<3D,£14518,£16949,2391,   919,4051,£14483,19894,£11952,18954,13263
2023-05-27,BOAT,HOLIDAY,first,open,AGENT,-999,BRONZE,NA,hostel,n._america,no,low,comprehensive,Jpy,1-2w,11294,,10719,474,£10093,6635,£18953," 4,946",-999,18485
2022-06-30,BIKE,Relocation,FIRST,One-Way,WALK-IN,LUFTHANSA,gold,Bulkhead,resort,N. America,No,HIGH, basic ,jpy,2-4w,£2967,1757,18608,NaN,£16686,17553,494,£11419,,10748
18/09/2023,boat,backpacking,BUSINESS,one-Way,online,EMIRATES,Silver, Middle , hostel ,AFRICA,no, High ,,eur, >1m ,4140,-999,12803,12995,,,16287,8203,6575,£15252
2022-08-24, CAR , EVENT , BUSINESS ,RETURN,app,NaN,platinum,Window,HOTEL,oceania,no,low,basic,usd,>1m,£8204,"17,852",210,7207,£7487,11123,£15864,7269,1708,£11352
2021-04-01,bus,holiday,BUSINESS,OPEN,agent,Easyjet,platinum,middle,AIRBNB,Africa,no,high,NaN,GBP,<3d,846,£3823,missing,2567,12747,   880,10295,14099,6282,£15723
14/12/2023, train ,study,NaN,One-Way, online ,missing,-999,middle,NaN,N. AMERICA,NO,HIGH,Basic,aud,3-7d,18576,£16149,2138,14008,NA,7656,NaN,3882,£3310,£1317
"Dec 23, 2021", bike , HOLIDAY ,premium,return,online,qatar,GOLD,window,Hostel,N. AMERICA,-999,shoulder,Comprehensive,eur,<3D,"10,374","19,337",2608,4183,11053,12851,3730,19054,14029," 3,693"
NA,car,RELOCATION,premium,RETURN,Walk-In,QATAR,silver,missing,couchsurf,S. America,yes,low,,Jpy,>1m,15878,£2382,15635,,7204,6771,19650,"19,972",NaN,2132
2021-05-11, TRAIN ,holiday, business ,OPEN,Walk-In,qatar,platinum,middle,Hostel,Asia,NA,Low,NA,AUD,<3d,116,6315,missing,11533,,3914,7778,-999,£11381,£8805
17/11/2024,Boat,study,PREMIUM,One-Way,AGENT, qatar ,platinum,middle,airbnb,asia,NO,Shoulder,NONE,usd,2-4w,NaN,6720,5662,4257,14438,13073,14791,2069,£10961,
2021-06-03,car,business,business,OPEN,Online,,gold,NA,NA,europe,NaN,LOW,comprehensive,NaN,<3d,16571,£16146,276,13097,9281,13945,7455,NA,-999,11715
08/11/2022,TRAIN,STUDY,missing,one-way,online,lufthansa,platinum,middle,hotel,europe,yes,high,none,usd,1-2w,11312,"17,342","16,830",£8333,£16995,£13603,£19471,NA,4132,256
26/12/2023,,holiday, business ,RETURN,online,ba,bronze,bulkhead,Airbnb,asia,no,shoulder,basic,GBP,1-2w,"12,417",9509,£5156," 9,661",£17250,missing,10064,-999,-999,missing
2022-02-07,bus,business,economy,RETURN,APP,ba,,AISLE,hotel,S. AMERICA,,shoulder,Comprehensive,usd,>1m,14352,19889,9674,£11676,-999,5949,£3075,4182,,19243
30/11/2024, Car ,relocation,first,open,agent,Emirates,Silver,AISLE,resort,,no,NA,none,usd,1-2w,16623,4683,NA,,5616,,7364,15431,16143,£9190
2021-11-26, bus ,backpacking,business,ONE-WAY,NaN,ba,Silver,window,hostel,,no,Shoulder,comprehensive,GBP,2-4w," 3,380",£3948," 4,430",10258,11472,3674,£2686,NaN,"11,603",£2241
02/01/2021,bus,relocation,premium,RETURN, app ,QATAR,PLATINUM,AISLE,resort,asia,yes,low,comprehensive,gbp,<3d,3975,11015,£7288,missing,8169," 5,448",9786," 6,460",1676,"10,407"
2024-08-26,BUS, business ,First,,walk-in,emirates,Gold,middle,Hotel,oceania,yes,-999,none,NaN,3-7d,14700,£17852,3690,16603,missing,11841,18668,£13785,4078,18415
2021-03-17,plane,event,business,NA,NA,NaN,BRONZE,window,RESORT,N. America,No,high,comprehensive, USD ,>1M,£13520,8666,7414,11450,13620," 2,987",£12008,£10137," 6,472",5632
2022-08-26,BIKE,NA,BUSINESS,return,agent,qatar,silver, Bulkhead ,hostel,,yes,Low,comprehensive, aud ,2-4w,19063,6400,£11121,17259,1996,2391," 1,662",missing,7861,£5467
"Dec 06, 2024",BIKE,Backpacking,economy,Open, walk-in ,Qatar,BRONZE,BULKHEAD, hostel ,N. AMERICA, yes ,low,NaN,,>1m,"14,629",18299,1745," 8,633",19606,19441,18253," 2,968",5591,£19072
13/11/2024,train,study,ECONOMY,return,agent,EMIRATES,NaN,MIDDLE,Hotel,,YES,high,COMPREHENSIVE,gbp,2-4W,-999,7151,£1410,1389,18777,£7561,12901," 1,628",NA,4776
,bike,holiday,first,Open,Online,Emirates,gold,window,RESORT,oceania,no,shoulder,none,Aud,>1M,12456,6130,"13,198",10807,14123,£1000,missing," 7,832",£12979,8959
2021-11-18,car,event,Premium,one-way,missing,,gold,,hotel,s. america,no,High,comprehensive,jpy,2-4w,£8230,1542,-999,NaN,4726,7789,NaN,12809,9106,1068
17/12/2024,train,event,First,RETURN,online,NA,NaN,AISLE,hostel,Europe,yes,high,Comprehensive,Usd,>1m,£17911," 3,811",7444,3474,8276,    57,15238,180,15636,-999
2023-03-07,boat,Holiday,FIRST,return,agent,-999, GOLD ,window,Hotel,n. america,yes,high,basic,NaN,<3d," 8,249","17,127",£11019,£1803,14207,4239,6735,NaN,5306,18785
2024-09-12,TRAIN,business,premium,return,Walk-In,easyjet,Platinum,aisle,NA,n._america,NaN,Shoulder,None,EUR,-999,6637,17412,5292,1822,-999,£13435,NA,missing,£19034,"17,072"
"Feb 19, 2021",bike,business,-999,One-Way,app,QATAR,missing,window,Airbnb,S. America,NO,shoulder,Basic,NaN, <3d ,£6280,1959,£7516,15017,17748,15877,261,NA,6525,10218
2024-12-02,car,study,-999,return,WALK-IN,emirates,bronze,Aisle,AIRBNB,Asia,YES,shoulder,basic,Eur,1-2W,17472," 2,584","13,480","14,083",missing,11448,19628,missing,11505,"10,536"
20/10/2022,Train,holiday,first,return,app,EASYJET,platinum,AISLE,airbnb,OCEANIA, yes ,SHOULDER,Basic,aud,<3d,NA,"18,883",9028,missing,15747,8904,NA,52,18767,14368
26/04/2021,BOAT,RELOCATION,first,one-way,APP,NA,gold,middle,hotel,n. america,yes,shoulder,comprehensive, Jpy , 3-7D ,16451,17831,-999,8857,,,£7780,6506,£16211,14576
2021-12-16,Boat,relocation,premium,One-Way,WALK-IN,EMIRATES,Gold,bulkhead,airbnb,oceania,,low,none,eur,>1m,15945,"14,059",-999,18209,9198,262,2982,missing,12848,13697
25/04/2024,train,backpacking,economy,return,NaN,easyjet,platinum,AISLE,Couchsurf,oceania,NA,missing, comprehensive ,JPY,2-4w,"13,987",5482,£4667,4048,13558,104,6129,-999,£14683,£1104
2023-07-01,BUS,backpacking,business,Open,Agent,easyjet,missing,window,hotel,Oceania,YES,Low,BASIC,AUD,missing,   114,19555,11037,NaN,,12486,5692,3018,12427,6713
"Sep 22, 2024",car,event,first,one-way,app,Easyjet,bronze,aisle,airbnb,oceania,NO,NA,None,EUR,2-4W,2647,14142,missing,8395,,1719,,17716,14971,18643
2021-06-23,boat,event,FIRST,Open,Agent,Qatar,silver,middle,-999,Africa,yes,NaN, basic ,EUR,<3d,£2921,16401,NA," 2,440",6957,6856,"18,784",8181,3861,"16,301"
"May 19, 2022",bus,Event,economy,return,app,missing,-999,aisle,resort,asia,NO,High,BASIC,usd,>1m,14951,7647,14502,3657,"16,038",NA,16924,£11759,8571,   283
missing,car,missing,first,OPEN,online,ba,SILVER,window,airbnb,europe,Yes, SHOULDER ,COMPREHENSIVE,missing,1-2w,18747,£12276,-999,£3916,3020,5932,NA,14618,17964,
2022-07-10,missing, relocation ,NaN,return,APP,BA, SILVER ,Window,Couchsurf,s. america,no,missing,Basic,jpy,2-4w,£14596," 7,684",9632,4275,14642,£14102,"13,881",14564,2805,18245
29/04/2021,Plane,Study,NA,open,missing,qatar,silver,WINDOW,resort,europe,NO, high ,-999,NA,2-4w,4444,1749,16077,£14835,11661,"13,438","19,600",£8496,17190,
"Jul 23, 2023",,Relocation,premium, open ,walk-in,-999,SILVER,aisle,couchsurf, Oceania ,no,high,BASIC,USD,1-2w,NaN,10200,NaN,£855,-999,"17,574","17,398",8983,NA,£18786
2024-03-06,,EVENT,first,RETURN,walk-in,Lufthansa,PLATINUM,window,Resort,Asia,YES,low,none,jpy,,16535,1309,14667,19915,10912,17163," 3,588",6781,11724,8687
2021-03-30,Car,event,,return,agent,EMIRATES,silver,bulkhead,airbnb, africa ,no,High,basic,Eur,>1M,11204,£14710,£19865,13324,19231,11955,6957,14322,£3502,
11/09/2023,bike,NA,business,One-Way,App,-999,gold,bulkhead,resort,s._america,Yes,low,NaN,aud,<3d,14613,10180,"10,092",2840,£12389,NaN,missing,£2925,1312,6668
27/11/2024,Plane,Backpacking,NA,open,-999,QATAR,silver,aisle,NaN,-999,yes, high ,none,gbp,2-4w," 5,572",£17221,18169,£6339,6295,"12,752",3040,,7486,6319
21/05/2021,NA,NaN,NA,ONE-WAY,agent,Easyjet,bronze,aisle,missing,asia,Yes,high,none,gbp,1-2w,15740,£8101,10882,   119,2391,8349,6500,16386,6118,missing
NA,Bike,Backpacking,Economy,return,Online,lufthansa,SILVER,bulkhead,hotel,n.America,no,HIGH,basic,eur,>1m,11628,7760,18653,£18665,"12,249","16,952",£13361,6972,17730,4744
2021-07-09,Train,,Business,NA,agent, Qatar ,platinum,AISLE,RESORT,asia,NaN,high,Basic,Eur,>1m,"15,516","17,404",4182,870,10363,15109,14153," 5,881","16,361",92
06/06/2023,car,holiday,premium,one-way, agent ,ba,silver,BULKHEAD,couchsurf,n. america,no,shoulder,none,usd,2-4w,17587,7117,26,£3537,7581,5449,£15864,NA,"13,907",11068
2022-06-19,BIKE, study ,business,RETURN,app,easyjet,NA,window,RESORT,oceania,yes, Shoulder ,,GBP, 2-4w ,NA,16642,16819,6811,missing,   721,missing,18901,5827,£17698
2022-05-29,BIKE,relocation,economy,open,agent, LUFTHANSA , PLATINUM ,AISLE,HOTEL,Europe,Yes,NA,-999, usd ,1-2W,£18013,13944,8246,£8544,7670,missing,4257,8939,7944,4156
12/10/2024,BOAT,holiday,Economy,return,Online,easyjet,PLATINUM,BULKHEAD,HOTEL,asia,yes,High,comprehensive,eur,1-2w,3145,"16,062",5753,£15968,15614,6434,18857,-999,8837,£6312
2021-10-09,TRAIN,BACKPACKING,Premium,return,online,Qatar,gold,window,RESORT, asia ,No,low, comprehensive ,USD,<3D,-999,NaN,12903,13702,£14936,3164,£15194,5526,3528,£16368
2022-12-13,bike,study,PREMIUM,open,app,NA,Silver,AISLE,,,yes,LOW,comprehensive,eur,<3d,15090,£17056,15032,9023,11003," 1,246",8750,4839,12698,639
,plane, Study ,economy,NaN,Online, lufthansa ,NaN, AISLE ,Couchsurf,N. AMERICA,NaN,HIGH,comprehensive,Aud,3-7d,12700,£13487,£5996,£13524,NA,£19927,14244,£16874,,12471
08/04/2021,boat, Study ,business,Open,app,ba,bronze,bulkhead,resort,oceania,missing,,comprehensive,GBP,<3D,NA,8186,2808,16582,£18568,17083,"10,232",9062,£14185,
2022-09-25,,Business,premium,return,agent,Ba,Silver,window,,asia,YES,shoulder,comprehensive,NA,>1m,£12937,12255,4405,£3702,£9869,"14,412",8726,18285,5430,5078
2021-04-14,Boat,NaN,Premium,Return,AGENT,qatar,Bronze,NA,hostel,europe,missing,low,-999,Aud,3-7d,£14149,13084," 1,506",   602," 2,604",11190,8359,15642,6895,7300
