 date , Breed ,colour,COAT LENGTH,pattern,eye_colour, vaccination_status ,microchipped?,age band?,indoor/Outdoor, favouriteToy ,temperament,food preference?,Litter Type/,Adoption Source,health issue,weight kg,age_months,LENGTH CM, height_cm ,daily calories,vet visits/,litterUsedKg,Play Sessions/Week, NAPS/DAY ,cost_£/month
2022-09-20,britishShorthair,Grey,hairless,,blue,not required,YES,KITTEN,Both,STRING,playful,raw,recycledPaper,-999,ALLERGY,"15,604",-999,19693,4922,"10,885",8270,8460,£10184,£5552,£14812
13/10/2024,sphynx,Calico,long,TABBY,missing,UP-TO-DATE,YES,mature,outdoor,laserPointer,shy,RAW,recycledPaper,shelter,NONE,"11,715",13471,4259,£18180,£6126,9164,£8062,"14,300",,4644
05/01/2024,ragdoll,,short,tabby,green,Overdue,yes,mature,OUTDOOR,laserPointer,playful,mixed,silica,friend,arthritis,£6758,17559,16685,£12349,"13,533","19,091",£3242,missing,13840,3179
2024-12-05, Sphynx ,CREAM,missing,tabby,odd-eyed,not required,NaN,junior,missing,Feather Wand,playful, wet ,non-clumping,STRAY,none,3368,9942,,19113,15130,missing,17595,5771,4247,6016
2022-11-18,Ragdoll,Calico,-999,bi-colour,copper,Not Required,no,kitten,Both,laser_pointer,missing,Dry,non-clumping,online,none,missing,12374,10926,21,£16983,2,19235,6441,"19,042",13302
12/05/2022,,tortoiseshell,NaN,bi-colour,blue,OVERDUE,no,GERIATRIC,outdoor,, friendly ,Wet,non-clumping,stray,arthritis,£16250,-999,   854,7700,6794,13235,381,405,18630,3459
2022-06-26,Bengal,grey,medium,tabby,Green,up-to-date,yes,senior,OUTDOOR,Feather Wand,aggressive,dry,SILICA,shelter,arthritis,£4669," 7,908",12603,£15681,£16766,17950,£18909,4384,4426,"12,891"
"Oct 28, 2021",MAINE COON,-999,long,bi-colour,green,NaN,No,geriatric, Both ,featherWand,shy,raw,clumping,friend,obesity,14786,10493," 9,031","11,369",£1087,929,13767,NA,6488,£3864
19/09/2023,ragdoll,Brown,HAIRLESS,NA,blue,overdue,no,Geriatric,-999,string, AGGRESSIVE ,RAW,SILICA,FRIEND,allergy,£7050,missing,16076,-999,4719," 1,310",NaN,3424,344,missing
24/10/2024, SPHYNX ,calico,Medium,pointed,gold,overdue,No,SENIOR,indoor, laserPointer ,LAZY,Raw,RECYCLED PAPER,online,NaN,7952,,£8514,3528,5494,18925," 3,880",17282,£161,
27/02/2024,tabby,orange,missing,Bi-Colour,GOLD, Unknown ,NO,Kitten,Outdoor,Catnip Mouse,shy,dry,non-clumping,NA, none ,2750,2705,NA,14070," 5,592",12621,18267,14602,18405,11911
23/01/2021,SPHYNX,Brown,short,pointed,gold,Unknown,yes,kitten,Outdoor,FEATHER WAND,,wet,Clumping,Friend,dental,,"13,150",missing,NA,12457,13072,8156,1554,13975,£5780
03/04/2021,,tortoiseshell, LONG ,pointed,GREEN,NA,no,mature,both,string,Shy,-999,silica,online,NONE,£7577,8723,6172,11982,5895,3703,10378,NaN,11209,NaN
31/08/2022,BRITISH SHORTHAIR,GREY,long,solid,gold,NOT REQUIRED,yes,mature,-999,BALL,playful,NaN,silica,missing,arthritis,5380,1574,10846,5206,missing,13506,1240,NaN,,£13605
21/04/2024,Ragdoll,grey,short,spotted,blue,Up-To-Date,yes,kitten, BOTH ,featherWand,lazy,WET,silica,shelter,ARTHRITIS,14838,missing,5222,8843,-999,£11867,-999,-999,10099,4774
2022-09-05,Persian,cream,long,TABBY,gold,up-to-date,no,missing,both, BALL ,aggressive,mixed,,STRAY,dental,NA,missing,NaN,9403,missing,6420,12031,NaN,13550,
2023-09-04,persian,black, Medium ,NaN,green,not required,yes,geriatric,indoor,ball,aggressive,mixed,,friend,none,11590,4213,17238,14132,17911,424,,£2426,17826,19701
29/08/2023,ragdoll,calico,long,NA,odd-Eyed, unknown ,yes, kitten ,outdoor,string,shy,NA,clumping,NA,dental,missing,£12422,£16099,£4939," 1,965",12705,"10,441",£10161,16496,"14,079"
2023-11-05,persian,ORANGE,HAIRLESS,SPOTTED,gold,unknown,no,mature,NA,string,lazy,Wet,silica,stray,arthritis,9455,-999,9224,15530,5258,"13,458",2167,£15911,18502,10406
25/06/2022,Tabby,missing,short,tabby,GOLD,unknown,yes,kitten,INDOOR,ball,Shy, raw ,clumping,, Dental ,9363,15550,£7098,-999,"15,153",£3717,19112,NaN,£12136,2444
08/03/2023,NA,Calico,long,SOLID,NA,-999,No,geriatric,both,string,friendly,wet,CLUMPING,Breeder,OBESITY,NA,£13395,3829,13055,£14680,£63,3028,15904,6706,1320
19/03/2022,siamese,calico,medium,Spotted,green,Not Required,yes,senior,OUTDOOR,laser pointer,playful,,recycled_paper,, obesity ,£18694,£18501,1459,15159,"11,840",18766,NA,11840," 4,760",11522
2022-07-03,Siamese,Orange,long,TABBY,,-999,yes,PRIME,both,laserPointer,Playful,wet,Recycled Paper,shelter,allergy,"10,757",19065,6198,5252,,4192,-999,11377,12073,£8794
2021-09-15,TABBY,CALICO,hairless,bi-colour,green,Not Required, yes ,SENIOR,both,,Aggressive,wet,clumping, SHELTER ,Allergy,11028,"13,474",£2486,missing,£19559,4135,221,7872,6945,6395
2024-01-08,british_shorthair, ORANGE ,HAIRLESS, SPOTTED ,blue,overdue,Yes,,outdoor,LASER POINTER,shy,Raw,clumping,,dental,missing,7042,2226,18840,19764,£11039,£12164,17988,7105,-999
missing, persian ,grey,SHORT,SOLID,odd-Eyed, NOT REQUIRED ,yes,prime,both,NA, Friendly ,Raw,recycled_paper,BREEDER,Arthritis,11920,17770,missing,19102,£13230,1945,2890,£12913,14696,18175
"Jul 08, 2022",persian, White ,NaN,Tabby,,notRequired,no,junior,INDOOR,-999,lazy,dry,non-clumping,online,ARTHRITIS,13351,NA,£1721,£4897,£2342,17150,14639,NaN,NA,£8037
09/03/2022,maine coon,WHITE,Medium,BI-COLOUR,odd-eyed,not_required,no, kitten ,Both,Feather Wand,aggressive,Mixed,,NaN,obesity,2891," 9,082","11,639",-999,6034,NA,5545,19483,2358,
11/07/2023,bengal,cream,hairless,pointed,NaN,up-to-date,yes,geriatric,outdoor,ball,PLAYFUL,wet,Clumping,Friend,ALLERGY,2178,"18,091"," 3,953",£16312,£1108,1132,8710,18885,6121,13818
09/02/2021,tabby,BLACK,long,TABBY,BLUE,UP-TO-DATE,NaN,senior,outdoor, string ,shy,NaN,non-clumping,friend,Arthritis,£18487,16433,16873,1000,NaN,14652,10006,4568,16053,2353
12/05/2024,british_shorthair,orange,NA,tabby,GOLD,notRequired,NO,mature,indoor,NA,AGGRESSIVE,Dry,NON-CLUMPING,STRAY,allergy,11791,14033,7751,563,14798,5196,11595,,£16080,1239
31/10/2024, maine coon ,grey, Medium ,SPOTTED,Odd-Eyed,up-to-date,-999,PRIME,both,ball,lazy,,non-Clumping,breeder,allergy,19536,"12,128",8366,16510,2343,"18,655",11324," 5,828","12,428",19872
2022-05-22,,cream,NA,Solid,Blue,overdue,NA,JUNIOR,both,feather wand,shy,mixed,clumping, friend ,,,5978,5345,18145,-999,19453,17386,"17,800"," 1,501",17321
2023-04-28,maine coon,GREY, long ,bi-Colour,odd-eyed,unknown,NO,KITTEN,both,catnip mouse,lazy,NaN,Non-Clumping,friend,dental,8953,"11,366",11343,missing,7092,£12518," 1,797",£15316,1587,4
2024-12-14,BENGAL,ORANGE,short,Bi-Colour,Gold,OVERDUE,No,mature,missing,featherWand,LAZY,Dry,Silica,Shelter,ALLERGY,17844,NA,14147,4973,15791,£5033,   878,£2339,"12,651",£13858
2024-12-06,RAGDOLL,calico,short,bi-Colour,GOLD,Unknown,Yes,KITTEN,indoor, catnipMouse ,AGGRESSIVE,mixed, recycled_paper ,ONLINE,Allergy,NaN,16352,5469,NaN,164,£274,£14099," 4,634",3467,12619
, persian ,orange,medium,spotted,Green,Up-To-Date,yes,kitten,outdoor,laserPointer,playful,mixed,non-clumping, shelter ,Obesity,11272,"16,916",14704,"13,359"," 5,501",£18962,£51,18724,3350,missing
"Jun 21, 2023",SPHYNX,missing,Hairless,NaN,Green,overdue,yes,Prime,NA,string,shy, raw ,missing,SHELTER,ALLERGY,£10121,16817,£16786,11026,8326,19739,missing,2502,11721," 5,097"
"Feb 06, 2022",Sphynx,grey,medium,bi-Colour,Blue,-999,No,mature,outdoor,catnip_mouse,Playful,DRY,clumping,online,DENTAL,18597,6184,15275,NaN,10014,17171,£18305,17236,14630,14872
"Feb 28, 2023",ragdoll,Black,medium,SPOTTED, COPPER ,overdue, yes ,NaN,outdoor,catnip_mouse,Shy,RAW, recycled_paper ,online, Arthritis ,£12147,809,£10420," 1,437",NA,19743,£1207,missing,11975,3523
01/07/2021,SIAMESE, ORANGE ,Short,TABBY,blue,UNKNOWN,no,Geriatric,missing, LASER POINTER ,Aggressive,wet,silica,shelter,none," 9,215",£13667,15624,7459,NA,14693,£15945,    67,NaN,11013
16/09/2023, ragdoll ,grey,medium,Spotted,GREEN,up-To-Date,yes,Senior,outdoor,FEATHER WAND,LAZY,Wet,RECYCLED PAPER,stray,ARTHRITIS,14588,missing,16603,£3036," 1,730",2570,1003,10163,16777,£4185
06/11/2023,TABBY,tortoiseshell,HAIRLESS,tabby,odd-eyed,Unknown,yes,Junior,Outdoor,string,lazy,dry,recycledPaper,online,DENTAL,£14989,10667,10222,396,£18299,NA,8385,£18765,"11,150",17619
28/06/2023,bengal,tortoiseshell,missing,Pointed,gold,not_required,missing,geriatric,indoor,Catnip Mouse,playful,dry,recycled_paper,NaN,ALLERGY,16306,14221,143,11136," 3,625",17633,£2787,NaN,"17,363",-999
04/08/2022,British Shorthair,tortoiseshell,hairless,solid,green,UNKNOWN,YES,JUNIOR,Indoor, string ,shy,-999,Silica,breeder,Obesity,missing,"16,368",£7502,£16517,398,9028,,£11813,17217,"14,754"
25/07/2021,BENGAL,tortoiseshell,HAIRLESS,BI-COLOUR,blue,,Yes,kitten, BOTH ,laser_pointer,friendly,wet,recycledPaper,NA,arthritis," 8,370",£17779,1429,,-999," 5,485",11117,5834,12158," 4,719"
2022-03-02,SPHYNX,brown,hairless,SPOTTED,blue,unknown,Yes,kitten,BOTH,catnip mouse,NA,DRY,clumping,friend,None,6080,£17938,NaN,£13323,8864,£5272,NA,7653," 3,440",missing
2022-04-10,maine_coon,white,hairless,SOLID,green,,no,missing,Indoor, string ,NaN,WET,Silica,NA,dental,18087,14181,2236,4827,NA,£8780,11841,18044,14878,16415
2023-01-20,maine coon, cream ,NA,pointed,blue,Overdue,YES,prime,outdoor,laserPointer,PLAYFUL,WET,recycled_paper,shelter,allergy,NaN,10951,18921,16648,8368,£7424,NA,,16734,2368
"Oct 08, 2023",persian,NaN,missing,tabby,blue,unknown,no,geriatric, BOTH ,string,Playful,dry,RECYCLED PAPER,online, ARTHRITIS ," 3,059",15980,-999,3440,NaN,£1219,NaN,7030," 1,430","12,244"
NaN,maine coon,grey,hairless,Spotted,Gold,Up-To-Date,no,junior,outdoor,string,aggressive,dry,NON-CLUMPING,BREEDER,none,,15363,2962,5456,"14,493",8354,NA,5724,12764,"10,713"
17/01/2024,Bengal,cream,short,Tabby,,,YES, kitten ,outdoor,BALL,Shy,mixed, Non-Clumping ,breeder,Arthritis,missing,6062,-999,NA,"13,892",15079,12934,16513,13746,   307
-999,ragdoll,cream,long,tabby,GOLD,up-to-date,yes,Mature,both,Ball,lazy,mixed,NA,breeder,dental,£11799,NaN,"19,651",,10408,14633,7611,1233,15777,7050
21/12/2023,maine coon,TORTOISESHELL,SHORT,Solid,green,Not Required,no,prime,outdoor,Laser Pointer,Lazy,dry,,-999,ARTHRITIS,4621,£626,16565,"15,983",4296,"16,287",16892,£2371,13601,7095
03/01/2022,ragdoll,missing,medium,SPOTTED,COPPER,OVERDUE,No,-999,Both,CATNIP MOUSE,lazy,Dry,Non-Clumping,stray,obesity,1450,17994,17755,7802,£18076,11280,£7051,£19572,£8974,4592
"Mar 28, 2022",Bengal,grey,NaN,,COPPER,up-To-Date,NaN,mature,Outdoor,string,Shy,wet,silica,,None,"13,671",14943,£6645,£14191,NaN,£17686,9819,,13562,18360
2022-06-05,siamese,calico,short, solid , BLUE ,up-To-Date,yes, senior ,indoor,NaN,shy,-999,recycled_paper,online,none,11032,2643,14663,3212,8906,11430,9906,-999,5593,10038
2023-10-15,bengal,calico,SHORT,Pointed,Gold,up-to-date,-999,senior,missing,string, LAZY ,wet,NaN,Shelter,Arthritis,12896,19594,5143,1250,17413,7580," 9,567",13993,11866,9459
21/08/2022,-999,cream,hairless,Tabby,NaN,NA,YES,JUNIOR,outdoor,catnipMouse,-999,MIXED,recycledPaper,friend,Dental,17366,17536,12171,6695,643,£19799,£2357,2195,-999,£14610
2024-08-23,maine coon,black,NaN,solid,Green,UP-TO-DATE,yes,Geriatric,outdoor,CATNIP MOUSE,shy,wet, SILICA ,NA,Dental,,1539,2005,12747,8976,   328,1508,3041,NA,14550
2023-12-27,NA,BLACK,Long,SOLID, odd-eyed ,up-to-date,Yes,geriatric,outdoor, string ,SHY,mixed,silica,SHELTER,OBESITY,"18,157",£14205,£1674,£2520,13426,13912,17388,18644,5722,19144
2021-10-15,PERSIAN,grey,short,pointed,BLUE, OVERDUE ,,Prime,outdoor, laser pointer ,friendly,mixed,silica,breeder,,11637," 2,349",missing,£8686,£4010,15939,£10893,7145,17990,4104
2024-04-07,maineCoon,black,long,spotted,odd-eyed,UP-TO-DATE,no,Senior,-999,catnip mouse,Playful,missing,clumping,NaN,NA,17145,4517,   841,£15284,9228,missing,,5974,7478,£4711
2024-12-24,missing,Black,long,pointed,-999,unknown,yes,geriatric,indoor, Feather Wand ,Friendly,MIXED,silica,stray,NONE,£17253,13572,5467,13218,5232,"16,410",£12427,4938,£1524,£11093
2022-04-19,-999,-999,short,tabby,green,NaN,yes,prime,Outdoor,CATNIP MOUSE,missing,missing,NON-CLUMPING,online,arthritis,7765,£15698,6357,-999,14631,2211,"13,836",19063,"18,285",£7185
2022-02-16,british shorthair,grey,hairless,bi-colour,green,-999,yes,mature,outdoor,ball,missing, Mixed ,clumping,Breeder,allergy,12054,NaN,£7139,1459,14247,-999," 3,892",6367,7147,NA
NaN,BRITISH SHORTHAIR,Calico,HAIRLESS, Tabby ,copper,not required,yes,missing,Outdoor, feather wand ,Friendly,raw,CLUMPING,friend,,19755,843,5622," 8,790",8444,8785,£16316,5464,12076,13544
2023-02-20,SPHYNX,black,long,missing,Copper,NOT REQUIRED,Yes,PRIME,outdoor,missing,AGGRESSIVE,wet,clumping,shelter,allergy,11050,14543,missing,16590," 7,555",2012,£17681,17850,4065,NA
30/10/2024,Tabby,brown,Short,solid,green,unknown,Yes,JUNIOR,both,catnip mouse,playful,mixed, recycledPaper ,STRAY, Obesity ,6609,12280,2516,6410,"14,241",1656,11709,NA," 4,616","16,115"
2023-10-29,british shorthair,-999,long,NaN,blue,unknown,no,NaN,missing, laser_pointer ,NA,dry,silica,Stray,NA,17073,"16,792",7292,4004,789,10322,NA,19049,£5992,£14272
2023-03-24,,orange,short,,ODD-EYED,-999,NA,NaN,outdoor,FEATHER WAND,FRIENDLY,NaN,non-clumping,-999,NONE,£17141,"17,146",18971,missing,£9275,6948,16612,1760,16701,£5051
NaN,persian,-999,HAIRLESS, bi-colour ,green,unknown,yes, kitten ,,feather wand,LAZY,raw,clumping,STRAY,Allergy,"11,012",2320,13873,19466,-999,7050,£15707,15015,11628,17982
2021-04-17,Ragdoll,NaN,short,NA,odd-eyed,UNKNOWN,NO,NA,both,LASER POINTER,aggressive,raw,Silica, breeder ,NA,11685,5995,"18,684",4038,4067,1864,12623,9578,1730,4573
2022-12-12,maine_coon,NaN,short,spotted,NA,NaN,missing,senior,outdoor,NA,Friendly,wet,CLUMPING,breeder,DENTAL,£15532,"18,624","15,077",2349,12726,-999,9230,NA,missing,10802
2023-06-13,maineCoon, TORTOISESHELL ,hairless,Spotted,green,-999,no,SENIOR,indoor,featherWand,Shy,NaN,non-Clumping,breeder,allergy,18963," 4,989",10737,"18,942",9718,5515,13815,£14388,9311,15118
02/11/2022,SPHYNX,tortoiseshell,medium, bi-colour ,COPPER,UNKNOWN,no,prime,indoor,laserPointer,AGGRESSIVE, raw ,non-clumping,Stray,ALLERGY,5268,5614,17093,17246,missing," 6,447",2652,£4409,£8711,£2466
24/03/2021,persian,tortoiseshell,short,bi-colour,green,up-to-date,yes,geriatric,outdoor,catnip mouse,Aggressive,RAW,silica,Friend,obesity,£3036,7673,missing,10998,18829,NaN,12042," 1,550",1512,-999
"Oct 01, 2021",tabby,Grey,,solid,GOLD,Unknown, no ,kitten,outdoor,string,Playful,wet,Non-Clumping,Breeder,arthritis,£3252,missing,missing,16279,8825,"14,653",6650,17791,18872,2307
12/11/2023,Tabby,missing,NaN,solid, gold ,overdue,missing,GERIATRIC,-999,String,playful,wet,non-Clumping,BREEDER,arthritis,,£15050,10184,-999,11073,£12284," 2,243",2595,19399,
04/04/2024,persian,grey, long ,bi-colour,copper,overdue,no,junior,missing,string,shy,raw, Recycled Paper ,breeder, Allergy ,15343,5892,15415," 6,048",NA,"13,521",7751,,NaN,-999
25/10/2024,sphynx,brown,Hairless,Tabby,copper, up-To-Date ,no,JUNIOR,BOTH,feather_wand,playful,wet,recycledPaper,online,obesity,7049,12731,£3694,4521,7382,5360,13901,336,9359,12592
17/04/2021,ragdoll,White,long,spotted,Copper,overdue,no,junior,Both,,playful,Mixed,Non-Clumping,Stray,missing,£6875,4217,3709," 1,423",£11207,"19,547",7495,11796,-999,
20/07/2021,Tabby,Calico,long,Solid,missing,NOT REQUIRED,no,PRIME,INDOOR,FEATHER WAND,shy,raw,silica,Stray, none ,,10927,£8453,missing,4260,8135,-999,   539,19698,"12,055"
2021-10-29,Bengal,Tortoiseshell,medium,bi-colour,green,not required,YES,Mature,both,NaN,aggressive,wet,non-clumping,STRAY,," 6,593",6537,£17248,9753,,2919,9239," 7,521",16670,-999
2021-10-07,PERSIAN,calico,Long,tabby,odd-eyed,overdue,no,Geriatric,-999,ball,shy,Mixed,recycled_paper,ONLINE,Obesity,,6219,£5379,missing,£60,£1688,19766,3457,£8878,18992
2022-07-28, BRITISH SHORTHAIR ,CREAM,missing,spotted,copper,Unknown,NA,Senior,-999,catnip mouse,LAZY,raw,clumping,breeder,obesity,missing,£7488,£4987,6662,12891,9722,7263,8517," 1,437",2755
2021-05-23,sphynx,brown,hairless,POINTED,GREEN,Overdue,no,GERIATRIC,indoor,laser_pointer,PLAYFUL,wet,CLUMPING,shelter,NaN,£18776,5828," 2,273",14580,missing,£4392,12178,"10,264",missing,3862
15/04/2024,Ragdoll,ORANGE,Medium,solid,NA,unknown,yes,senior,Indoor,Ball,playful, Raw ,SILICA,stray,Dental,"12,765"," 7,288",7781,£14815,£9313,16659,£12428,8849,"19,188","13,133"
09/06/2022,RAGDOLL,White,hairless,tabby,Blue,unknown,no, senior ,both,Catnip Mouse,shy,dry,clumping,Friend,obesity,10907,£9333,10163,3695,,14939,14182,NA,14791,17199
2022-12-25,SIAMESE,cream,hairless,spotted,odd-eyed,OVERDUE,Yes,kitten,indoor,catnipMouse,Friendly,Dry,non-Clumping,missing,allergy,10130,2114,5109,8016,£10501,10425,19106,£2035,15678,5974
-999,sphynx, brown ,long,spotted,gold,NOT REQUIRED,yes,Senior,both,ball,shy,mixed,silica,breeder,Arthritis,11579,missing,"18,881",8046,17330,£730,8750,17516,£18242,15307
24/12/2021,persian,grey,long, Spotted ,gold,missing,no,GERIATRIC,outdoor,Feather Wand,LAZY,Wet,recycled_paper,-999,arthritis,"16,277",15758,5904,£7115,11875,£3808,4272,15568,2856,"13,039"
31/12/2024,tabby,white,hairless,spotted, copper ,unknown,no,Prime,Both,catnipMouse,Aggressive,raw,NaN,Breeder,allergy,"18,927"," 5,101",£13893,14323,£8182,16683,"14,498",5280,,NaN
04/03/2021,BRITISH SHORTHAIR, CALICO ,medium,bi-Colour,odd-Eyed,up-To-Date,No,geriatric,Both,NaN,lazy,RAW,missing,stray,DENTAL,14863,16432,1733,4596,15326,1276,NaN,16708,NaN,16134
11/07/2023,British Shorthair,-999,Medium,bi-Colour,odd-Eyed,NOT REQUIRED,no,junior,INDOOR,BALL,NA,NaN,clumping,Friend,dental,"14,269",14248,£16605,£19312,2815,£11470,1718,-999,16998,6846
10/04/2021,BRITISH SHORTHAIR,calico,short,solid,missing,not required,NO, senior ,indoor,-999,aggressive,-999,Silica,shelter,None,17684," 4,913",£5441,£5467," 1,824",£1254,16945,18608,7421,18607
2021-11-03,persian,brown, Short ,SOLID,-999,overdue,yes,PRIME,OUTDOOR,-999,friendly,raw,CLUMPING,breeder,NONE,8326,18695,£12175,£13580,17313,4540,14431,2228,19810,£6695
27/10/2022,Tabby,black,short,spotted,blue,not required,Yes,junior,both,LASER POINTER,AGGRESSIVE,Dry,NA,STRAY,None,NA,£15988,-999,2057,18468," 2,923",£2684,£11577,9950,3159
2024-11-01,tabby,NA,long,tabby,blue,overdue,-999,mature,OUTDOOR,ball, aggressive ,wet,silica,FRIEND,arthritis,"11,878",,£11988,13066,NA,9987," 5,050",£11632," 5,981",4988
16/11/2022,,,medium,-999,GREEN, up-to-date ,no,mature,indoor,feather_wand,Playful,raw,Non-Clumping,friend,NaN,16164,1742,10764,£5699,14467,5127,15984,£3339,£7843,£9158
NA,british_shorthair,tortoiseshell,Short, tabby ,Odd-Eyed,unknown,yes,PRIME,both,string,-999,raw,clumping,friend,Allergy,5277," 3,303",,15937,£844," 1,254",17348,7673,"19,971",NA
17/12/2021, BENGAL ,CREAM,long,tabby,green,UP-TO-DATE,no,NaN,indoor,Ball,lazy,raw,non-Clumping,NA,allergy,£2365,2085,£10971,£2156,7347,£4620," 9,537"," 1,276",NA,15023
2021-04-08,bengal,orange,short,,gold,notRequired,yes,Senior,indoor,Catnip Mouse,Playful,NA, clumping ,friend,none,1333,£16701,3869,£1169,7577,"14,819",NaN,"17,704",£18197,19548
10/05/2021,SIAMESE, cream ,LONG,spotted,green,unknown,Yes,mature, outdoor ,catnipMouse,playful,RAW,recycled_paper,SHELTER,ALLERGY,16016,,missing,8283,10089,18568,10849,£10037,"10,582",£17806
2021-03-27,sphynx,white,NaN,solid,copper,not required,No,Prime,both, string ,FRIENDLY,raw,missing,online,arthritis,5314," 3,658",71,missing,302,£19034,19607,£15655,-999,993
2022-02-07,SIAMESE,cream,hairless,TABBY,odd-eyed,unknown,yes,senior,indoor,Catnip Mouse,aggressive,,clumping,SHELTER,obesity,"13,306",13083,9208,£4005,£13449,missing,9374,6475,£19347," 7,146"
2024-10-31,BRITISH SHORTHAIR,,HAIRLESS,tabby,Odd-Eyed,notRequired,No,geriatric,,Catnip Mouse,shy,raw, RECYCLED PAPER ,online,DENTAL,£1957,missing,1499,7237,"13,464",13063,9131,19912,17034,£1234
29/07/2022,Persian,black, long ,solid, blue ,overdue,Yes,NaN,OUTDOOR,laserPointer,FRIENDLY,RAW,silica,NaN,allergy,10383,£16821,£15551,16958,£10453,14649,13699,7839,3974,2282
2021-08-17,british shorthair,BLACK,short,spotted,Gold,missing,NO,senior,outdoor,catnipMouse,Shy,DRY,Clumping,FRIEND,Arthritis,"13,019",6274,-999,£13608,"17,120",19394,18504,£4629,3187,9902
"Dec 25, 2021",persian,white,SHORT,bi-Colour,Odd-Eyed,not required,NO,geriatric,Indoor,missing,playful,mixed,SILICA, FRIEND ,ALLERGY,£7885,15908,15984,550,17978,"18,521",14180,1923,missing," 5,462"
2024-05-15,NaN,tortoiseshell, long ,NaN,Odd-Eyed,Not Required,Yes,prime,NaN,ball,aggressive,WET,recycled paper,stray,OBESITY," 6,868",9095,£16108,6695," 7,480"," 5,203",14886," 2,385",18262,5850
missing,MAINE COON,NA,Medium,,Copper,Overdue,YES,Junior,INDOOR,feather_wand,aggressive,Mixed,clumping,shelter,None,£12350," 5,771",NA,5107,"13,087",£5213,13209,15131,2703,2289
NA,RAGDOLL,NaN,short,solid, odd-eyed ,up-To-Date,no,SENIOR,outdoor,laser pointer, Shy , dry ,Recycled Paper,SHELTER,arthritis,19993,£7512,"11,733",8968,7888,15029,18775,7641,£14473,886
18/10/2023, ragdoll ,CREAM,Short,bi-Colour,odd-Eyed,overdue,no,Prime,both,BALL,playful, RAW ,recycled_paper,,DENTAL,-999,6831,"10,946",17409,18535,NA,2090,,426,
23/03/2021,Ragdoll,White,MEDIUM,solid,BLUE,up-to-date,Yes,PRIME,Outdoor,Laser Pointer,Aggressive,RAW,recycledPaper,FRIEND,dental,3161,1565,£10239,17440,NA,£7018,NaN,18666," 9,762",£6925
23/07/2024,bengal,ORANGE,-999,TABBY,ODD-EYED,UP-TO-DATE,yes,senior,outdoor,laser pointer,-999,raw,clumping,STRAY,allergy,£9710," 8,471",11295,,7425," 7,261",10544,14608,19177,11276
25/05/2024,persian,cream,hairless,tabby,,unknown, yes ,geriatric, Indoor ,ball,FRIENDLY,raw,clumping,stray,None,7725,14327,missing,9577,,£8219," 3,282"," 8,479"," 3,694",-999
"Dec 02, 2024",ragdoll,grey,,Spotted,copper,Overdue,no,senior, Indoor ,STRING,Shy,wet,NA,ONLINE,ALLERGY,£12216,10350,£13001,6550,14466,13328," 4,963",14181,£14000,£13701
2023-01-08,MAINE COON,grey,SHORT,solid,Copper,Up-To-Date,no,Junior,Indoor,Feather Wand,playful,wet,NON-CLUMPING,STRAY,Allergy,missing,NA,1934,11533," 7,007",missing,-999,NA,"16,006",8535
03/06/2024,BRITISH SHORTHAIR,,medium,Tabby,GREEN,not_required, no ,KITTEN,outdoor,LASER POINTER,aggressive,dry,non-clumping,breeder,none,£8888,NA,1678,12162,16547,19870,736,"13,684","10,028",778
NA, Bengal , grey ,short,pointed,GOLD,up-to-date,-999,mature,BOTH,string,shy,raw,NaN,friend, arthritis ,17505,8666,1322,£6720,missing,"17,237",£13420,,14773,£6934
2022-07-28,sphynx,brown,HAIRLESS, BI-COLOUR ,odd-eyed,unknown,yes,Senior,indoor,String,aggressive,WET,CLUMPING,missing,None,23,5786,15835,5955,10299,16678," 4,134",£2398,9575,4925
01/07/2021,Ragdoll,GREY,SHORT,tabby, odd-eyed ,Overdue,YES,Kitten,outdoor,Laser Pointer,Lazy,DRY,recycledPaper,NA,allergy," 6,099",6829,NaN,£4569,14621,10350,"17,711",,13951,8927
"Jan 24, 2021",Ragdoll,BLACK,Medium,spotted,NA,unknown,no,senior,outdoor,String,aggressive,Mixed, clumping ,breeder,,18097,,£12329,"18,691",£7867,missing,"11,684",-999,£11704,18436
NaN,siamese,tortoiseshell,long,Tabby,NA,missing,yes, Mature ,NA, ball ,AGGRESSIVE,Raw,clumping,stray, NONE ,"19,521",-999,11634,6088,"14,042",9453,£14812,£2693,8359,NaN
27/02/2023, ragdoll ,calico, long ,spotted,blue,UP-TO-DATE,yes,mature,Both,laser pointer,lazy,Wet,recycledPaper,breeder,dental,£3617,"10,023",17037,3461,£18012,£2808," 8,396",£14112,£4850,14880
2022-08-06,british_shorthair,Calico,LONG,pointed,,overdue,no, Kitten ,Outdoor,ball,shy,dry,non-Clumping,NaN,obesity," 6,564"," 1,543",3679,missing,"19,741",2912,7517,£9202,£6626,2729
28/08/2024,tabby,white,MEDIUM,SOLID,odd-eyed,missing,yes,Kitten,Indoor,ball,aggressive,mixed,recycled paper,Stray,arthritis,16310,missing,"16,207",6906,£286,19093," 9,273",£18993,NaN,NA
2021-04-21,sphynx,white,SHORT,solid,gold,not_required,NaN,PRIME, INDOOR ,featherWand,aggressive,dry,clumping,stray,OBESITY,£7893,6240," 3,398",18717,£371,,11835,1888," 3,505",£14919
